Code,Genus,Species,Name,Habitat,Type,Forest,Gmin,TLP,LSWC,MajVLA,Nitrogen,Carbon,Phosphorous,Potassium,SD
B260,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Bafog,1.148158992,-0.474070349,5.024633527,1.836373668,0.512823626,3.933980173,-0.448567534,2.101494401,5.056572389
B263,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.014412229,-0.600395724,4.93922307,1.727536234,0.122217633,3.958715733,-0.682696725,1.259003768,5.534199944
B266,Virola,michelii,Virola_michelii,BF,TF,Bafog,1.190376188,-0.509680969,5.327433352,1.638957256,0.854415328,4.010962953,-0.411243293,1.398531343,5.559201246
B269,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,2.478979955,-0.245202455,5.061515336,NA,0.854415328,3.971234865,-0.318391076,1.251587955,NA
B271,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,2.406636953,-0.213787924,4.778567877,1.614542047,1.00063188,3.97518558,-0.162430742,1.725057493,5.969766185
B272,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.619124248,-0.695045378,5.032496585,2.085784493,-0.020202707,3.966511191,-0.933093619,0.72079447,5.918342282
B275,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.536399583,-0.649383363,5.021659635,1.752670016,0.350656872,3.967646909,-0.67874415,1.049536991,5.259096653
B281,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,2.127083666,-0.701254229,5.106644018,2.150316347,0.2390169,3.964425684,-0.651505112,1.500937604,5.490370331
B283,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,1.80313255,-0.422256671,5.21739252,1.466711865,1.071583616,3.954124181,-0.12499649,1.881089705,NA
B284,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,1.687881558,-0.374785945,5.055314161,1.45158085,0.989541194,3.961003628,-0.183221512,1.764342241,4.848516445
B285,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.472776827,-0.628523322,4.918968735,1.815901562,0.207014169,3.889368315,-0.667056604,1.155060234,5.924655877
B289,Licania,membranacea,Licania_membranacea,TF,TF,Bafog,NA,-0.823455886,4.677878679,1.984179221,0.457424847,3.73385282,-0.539067968,1.930665566,NA
B306,Virola,michelii,Virola_michelii,BF,TF,Bafog,2.532018422,-0.533142734,4.983752501,NA,0.488580015,4.017643487,-0.494157196,1.382142003,NA
B307,Virola,michelii,Virola_michelii,BF,TF,Bafog,1.003065681,-0.433106215,5.125045537,1.942634892,0.647103242,3.966700567,-0.495899974,1.565300097,NA
B319,Licania,membranacea,Licania_membranacea,TF,TF,Bafog,1.860467567,-0.716609769,4.852648823,2.013995099,0.405465108,3.917607384,-0.901070491,1.862458858,NA
B327,Virola,michelii,Virola_michelii,TF,TF,Bafog,1.477011966,-0.712537958,5.264111458,1.819294579,0.91228271,3.976686519,-0.402970719,1.709305875,NA
B328,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,1.037976542,-0.713557466,5.106855363,0.984480513,0.631271777,3.879293181,-0.558742044,1.785856323,5.454652248
B352,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,1.465122639,-0.261348364,5.046350511,1.197410432,0.943905899,3.976873978,-0.133888064,1.797840153,NA
B354,Virola,michelii,Virola_michelii,TF,TF,Bafog,1.345352307,-0.391798815,5.305147488,1.273864149,0.774727168,3.973306234,-0.580817996,1.40292605,NA
B356,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Bafog,0.396745872,-0.367610927,5.378465915,2.054949661,0.587786665,3.973870409,-0.636876275,1.293523409,NA
B357,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,1.532402861,-0.673005696,5.424286802,1.147171673,0.727548607,3.903184057,-0.588086111,1.402786886,NA
B361,Virola,michelii,Virola_michelii,TF,TF,Bafog,1.752970649,-0.493305031,5.066823423,1.921917626,0.774727168,3.949704072,-0.386398045,1.179239485,NA
B362,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Bafog,0.668036018,-0.497107965,4.971146438,1.910775942,0.524728529,3.999117712,-0.527937264,1.744703106,NA
B367,Virola,michelii,Virola_michelii,TF,TF,Bafog,2.248620761,-0.418157551,5.211721903,1.61174325,0.806475866,3.904393978,-0.314156935,1.430282615,NA
B369,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,0.556478873,-0.558449394,5.444864498,1.241768737,0.916290732,3.840527004,-0.225267623,2.260852606,5.359342068
B370,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,2.181197268,-0.669817139,5.372928426,1.009003826,0.625938431,3.829076085,-0.675841433,2.118644288,5.866159671
B375,Virola,michelii,Virola_michelii,TF,TF,Bafog,2.347522129,-0.464965961,4.87599319,1.590399705,0.542324291,4.008241863,-0.609645459,1.255946839,NA
B378,Virola,michelii,Virola_michelii,TF,TF,Bafog,0.767934101,-0.558449394,4.913697724,1.46117493,0.667829373,4.012411179,-0.576972531,1.066137234,5.606202146
B379,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,0.809290205,-0.709473183,5.355755741,1.288572602,0.698134722,3.76514581,-0.555869062,1.717614305,5.791124485
B387,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,1.530595118,-0.525793051,5.34776541,1.611529168,0.810930216,3.895080285,-0.422718304,1.86696362,NA
