"","Code","Genus","Species","Name","Habitat","Type","Forest","Gmin","TLP","LSWC","MajVLA","N","C","P","K","SD","TWI"
"1",2,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",0.822035947434674,-1.92892,184.2128,4.6839762365,2.3,49.74,0.708380949398798,7.40377493448436,192.307692307692,5.82837
"2",7,"Licania","membranacea","Licania_membranacea","TF","TF","Paracou",3.26856322549238,-1.96636,124.1807,2.6749838935,1.41,49.06,0.3907891875,5.41896738461538,NA,8.124021
"3",13,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",4.62410905307648,-1.31532,157.8594,4.2742672505,1.88,53.17,0.710109132933533,6.80056710106485,NA,5.708247
"4",14,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",3.00655978432399,-1.33612,157.9045,4.390480067,2.12,52.4,0.7534641875,6.68896738461539,278.846153846154,5.708247
"5",156,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.72846590511377,-2.09948,119.0406,4.527417986,1.12,50.19,0.386825241425242,3.59025010703582,298.076923076923,5.588491
"6",160,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",4.19157732313851,-2.03916,172.1575,4.922137905,1.13,47.68,0.640087066666667,5.61859035714286,304.48717948718,8.119463
"7",166,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.44544975458304,-1.83116,133.7578,4.421231839,0.93,53.18,0.378265331998665,2.60894930644931,352.564102564103,8.119463
"8",170,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Paracou",1.00698750909141,-1.5982,164.2501,9.1674604675,1.11,48.76,0.584756579826319,6.11582200114515,73.7179487179487,5.770796
"9",175,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",2.68313164210749,-1.45468,156.9881,5.2293209915,2.36,52.05,1.01559486409872,7.14216143786179,NA,6.838751
"10",140,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",3.85035238455184,-1.95596,121.2291,4.4397771405,1.06,51.46,0.453060536398468,4.43087491968302,314.102564102564,7.750878
"11",184,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",6.34502996639492,-1.88108,116.7065,4.265121341,0.73,46.3,0.387818157587873,6.56530770329121,365.384615384615,7.750878
"12",189,"Virola","michelii","Virola_michelii","TF","TF","Paracou",1.69064925119925,-2.05788,124.7359,6.5000923295,1.47,49.01,0.503087066666667,5.01109035714286,NA,6.146863
"13",190,"Virola","michelii","Virola_michelii","TF","TF","Paracou",2.92187040932001,-2.04748,130.519,5.896248661,1.44,52.55,0.481868935602269,4.09268304018304,NA,6.146863
"14",191,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",0.888803299525104,-1.86652,140.6373,5.162907154,1.17,56.68,0.432344411077744,3.15399435149435,326.923076923077,6.814266
"15",193,"Virola","michelii","Virola_michelii","TF","TF","Paracou",2.45019095151018,-1.7334,147.5944,5.110937381,1.9,50.91,0.579666733400067,4.49333369083369,NA,6.814266
"16",29,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.78818898364891,-2.01004,128.2889,4.1672255765,1.12,51.49,0.563746060530265,3.58776126524801,391.025641025641,5.543244
"17",30,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",2.27676998206131,-1.97052,160.4218,5.021528718,1.1,51.31,0.6054641875,5.81396738461538,224.358974358974,8.124021
"18",33,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",2.07655644335678,-1.93308,225.3025,5.1280722935,1.59,50.5,0.599364822677323,11.3576097748405,346.153846153846,8.083855
"19",50,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",0.856258957053565,-2.15772,161.2775,5.4946586485,1.72,47.14,0.488936314870259,5.41314110241056,192.307692307692,7.951713
"20",51,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",7.01415173967134,-1.6086,156.4003,4.4637732345,1.74,51.84,0.4826641875,3.54846738461538,211.538461538462,7.951713
"21",74,"Licania","membranacea","Licania_membranacea","TF","TF","Paracou",3.34900976871588,-1.95804,157.7732,3.983878885,1.25,49.9,0.405703511399567,12.1453722986948,NA,9.552659
"22",88,"Virola","michelii","Virola_michelii","TF","TF","Paracou",2.14565996692782,-1.7334,155.03,7.7602364345,2.11,53.23,0.678926529931633,5.79148610019295,272.435897435897,11.244987
"23",94,"Licania","membranacea","Licania_membranacea","TF","TF","Paracou",3.92759724557281,-1.9206,145.0477,4.8579531645,1.75,47.4,0.6132002669336,8.97256292006292,NA,10.639692
"24",96,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Paracou",3.257,-1.59404,158.2896,8.218057992,1.6,54.01,0.824736539746159,9.91341719152591,163.461538461538,6.746623
"25",98,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Paracou",0.680277179590521,-1.60444,152.264,8.8247712975,1.26,54.39,0.63045661005661,7.25633402311974,118.589743589744,5.770796
"26",101,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.74104492295051,-2.01836,137.3893,6.6632159475,1.12,51.68,0.664590181394575,6.4439244704372,349.358974358974,5.588491
"27",106,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",7.2152937636833,-1.45884,160.057,3.368115591,1.83,50.62,0.482513296721584,5.11591648241923,NA,6.838751
"28",113,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",5.42438269997081,-1.7854,243.707,5.6327425485,2.24,50.31,0.770930670660676,10.6875590186149,304.48717948718,5.588491
"29",114,"Licania","membranacea","Licania_membranacea","TF","TF","Paracou",5.2838498559599,-2.17228,112.259,6.2889578625,1.26,50.39,0.391516308512411,5.5358224459199,NA,7.270682
"30",107,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",2.9904218852317,-1.85404,129.5871,4.4158275605,0.86,52.82,0.468389651143382,4.04465734315759,358.974358974359,10.902845
"31",121,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Paracou",1.74310237166377,-1.48172,146.8162,5.3477131465,1.37,52.87,0.800387454120788,14.3879783354783,51.2820512820513,11.366833
"32",129,"Virola","michelii","Virola_michelii","TF","TF","Paracou",5.15592242831628,-1.76252,130.9695,4.73659874,1.43,53.38,0.498734535738143,5.09878793300888,205.128205128205,5.931537
"33",146,"Licania","membranacea","Licania_membranacea","TF","TF","Paracou",4.52091074893483,-1.89772,109.7865,7.0942746735,1.21,50.31,0.408812066666667,9.00859035714286,NA,6.196265
"34",151,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.34025002750957,-2.08076,155.8219,5.126738473,0.95,43.42,0.514587066666667,6.11859035714286,275.641025641026,6.936626
"35",153,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",6.2714479812694,-1.70428,133.4662,4.9297570155,1.9,51.73,0.556973120425815,5.49260514684916,368.589743589744,6.196265
"36",154,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Paracou",1.63217298504954,-1.62316,183.4288,4.938565407,1.27,47.46,0.429557509157509,2.20988047666619,75.7575757575758,6.196265
"37",250,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Bafog",1.77418,-1.78124,196.5253,2.5465317625,2.07,48.86,0.600300150075038,9.15022525548489,285.25641025641,6.107582
"38",251,"Virola","michelii","Virola_michelii","TF","TF","Bafog",7.446591,-1.6918,153.0214,6.2702207205,2.16,53.9,0.6825,3.37965014285714,NA,6.107582
"39",252,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Bafog",1.371742,-1.619,161.9963,7.2216937085,1.65,50.64,0.496053946053946,3.59155858427287,160.25641025641,6.107582
"40",253,"Licania","membranacea","Licania_membranacea","TF","TF","Bafog",3.976643,-1.9102,169.0901,8.5277395035,1.61,50.04,0.408541458541459,11.4641859569002,NA,6.107582
