Code,idTree,Plot,Subplot,FieldNr,Genus,Species,Name,Family,PrefHabitat,Habitat,Spcode,Fresh_Weight(g),Saturated_Weight(g),Dry_Weight(g),LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,Height_Tree,Dawkin_Tree,Height_Branch,Dawkin_Branch,Position_Crown
89,178762,6,4,2895,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,0.971,0.981,0.348,1.816,-1.158,-1.59,,0.814,59.673,1.097,12,3,10,3,Mid
90,104801,6,4,2653,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,1.602,1.649,0.64,1.576,-1.198,-1.622,,0.831,82.544,1.657,,2,,3,
91,104363,6,4,439,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,TF,Con.gui,1.694,1.673,0.714,1.341,-1.385,-1.772,,0.8,122.129,2.635,21,4,18,3,Mid
92,104378,6,4,454,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,TF,Chr.pri,3.456,3.512,1.664,1.111,-2.225,-2.443,,0.797,92.865,0.733,22,2,22,3,Sup
93,104500,6,4,594,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,TF,Chr.pri,2.064,2.063,0.955,1.159,-2.065,-2.315,,0.802,148.75,1.523,29,2,29,3,Sup
94,104355,6,4,431,Licania,membranacea,Licania membranacea,Chrysobalanaceae,TF,TF,Lic.mem,1.264,1.336,0.545,1.45,-1.55,-1.903,,0.817,57.689,2.747,21,2,19,2,Mid
95,104215,6,4,288,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.514,0.517,0.242,1.138,-1.413,-1.794,,0.809,13.717,3.074,38,5,31,5,Mid
96,104562,6,4,658,Iryanthera,sagotiana,Iryanthera sagotiana,Myristicaceae,TF,TF,Iry.sag,0.824,0.837,0.324,1.583,-1.158,-1.59,,0.682,26.082,3.257,26,3,20,3,Sup
97,104319,6,4,395,Laetia,procera,Laetia procera,Salicaceae,BF,BF,Lae.pro,2.206,2.258,0.888,1.543,-1.645,-1.979,,0.807,54.311,2.296,32,5,26,5,Sup
98,145049,14,4,807,Iryanthera,sagotiana,Iryanthera sagotiana,Myristicaceae,TF,TF,Iry.sag,0.922,0.925,0.367,1.523,-1.17,-1.6,,0.824,34.052,0.767,16,2,14,3,Inf
99,145228,14,4,991,Vouacapoua,americana,Vouacapoua americana,Fabaceae,TF,TF,Vou.ame,0.497,0.498,0.257,0.936,-1.798,-2.101,,0.78,25.486,1.706,16,3,12,4,Inf
100,145138,14,4,897,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,2.955,3.012,1.112,1.709,-1.138,-1.574,,0.824,68.511,1.154,25,3,21,2,Inf
101,145139,14,4,898,Poraqueiba,guianensis,Poraqueiba guianensis,Metteniusaceae,TF,TF,Por.gui,1.94,1.957,0.824,1.374,-1.668,-1.997,,0.792,40.07,2.831,22,2,20,2,Mid
102,145294,14,4,2539,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,1.046,1.055,0.455,1.32,-1.06,-1.512,,0.828,44.607,4.963,22,2,18,3,Inf
103,145148,14,4,907,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,3.097,3.121,1.303,1.395,-1.168,-1.598,,0.812,98.568,2.129,18,2,14,3,Inf
