Code,DateField,Plot,Subplot,idTree,FieldNbr,Species_Name,Forest,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,CommentField,CommentLab,Site,Genus,Species,Habitat,FW,SW,DW,Comment_Lab,LSWC,FvFm,LA,gmin,Ptlp
258,2021-03-01T00:00:00Z,3,10,15353,36,Esc.cor,Bafog,21,3,18,3,middle,,,Bafog,Eschweilera,coriacea,TF,1.7274,1.8119,0.7549,,1.40018545502716,789,99.64697813,1.930369925,-1.6457725
259,2021-03-01T00:00:00Z,3,3,41201,44,Dic.gui,Bafog,18,2,16,3,middle,,,Bafog,Dicorynia,guianensis,TF,2.0386,2.1763,0.805,,1.70347826086957,788,82.40227471,4.423291287,-1.49596
260,2021-03-01T00:00:00Z,3,12,3145,8,Iry.sag,Bafog,16,3,16,3,sup,,,Bafog,Iryanthera,sagotiana,TF,1.1354,1.1625,0.4611,,1.52114508783344,819,52.97689757,3.152383564,-1.6018275
261,2021-03-01T00:00:00Z,3,12,41508,74,Tac.mel,Bafog,19,3,15,3,middle,,erreur bota,Bafog,Tachigali,melinonii,TF,0.606199999999999,0.6354,0.2865,,1.21780104712042,795,33.4583101,3.155526319,
262,2021-03-01T00:00:00Z,3,4,15306,27,Esc.cor,Bafog,18,3,14,2,inf,,,Bafog,Eschweilera,coriacea,TF,1.7937,1.8576,0.7143,,1.60058798824024,824,90.22750604,1.260178037,-1.6977075
263,2021-03-01T00:00:00Z,3,4,4472,5,Por.gui,Bafog,19,2,15,3,middle,,,Bafog,Poraqueiba,guianensis,TF,1.8637,1.9693,0.8217,,1.39661677011075,823,71.31469356,2.75774181,-1.8095675
264,2021-03-01T00:00:00Z,3,5,5136,24,Esc.cor,Bafog,23,3,18,3,inf,,,Bafog,Eschweilera,coriacea,BF,1.3483,1.4108,0.5941,,1.37468439656624,740,85.23207752,1.779210437,-1.6657475
265,2021-03-01T00:00:00Z,3,5,41257,35,Iry.hos,Bafog,12,3,11,3,middle,,,Bafog,Iryanthera,hostmannii,BF,1.0487,1.0839,0.4137,,1.62001450326323,745,30.76050552,3.594979118,
266,2021-03-01T00:00:00Z,3,5,41269,49,Vir.mic,Bafog,18,2,16,2,middle,,,Bafog,Virola,michelii,BF,0.4531,0.4763,0.1557,,2.05908798972383,805,48.57903591,3.922315412,-1.6577575
267,2021-03-01T00:00:00Z,3,12,41499,61,Iry.hos,Bafog,11,2,11,2,sup,,,Bafog,Iryanthera,hostmannii,BF,0.7092,0.7205,0.2562,,1.81225604996097,813,37.74955908,1.448602516,-1.4420275
268,2021-03-02T00:00:00Z,3,33,15511,22,Tac.mel,Bafog,24,2,18,2,inf,,,Bafog,Tachigali,melinonii,TF,0.3575,0.3239,0.1403,,1.30862437633642,830,19.77852647,4.261836488,-1.196335
269,2021-03-02T00:00:00Z,3,41,42545,36,Dic.gui,Bafog,16,2,15,2,sup,,,Bafog,Dicorynia,guianensis,TF,0.9642,0.8529,0.3308,,1.57829504232164,826,34.29617385,11.89108407,-1.2862225
270,2021-03-02T00:00:00Z,3,33,15517,31,Esc.cor,Bafog,18,2,16,2,middle,,,Bafog,Eschweilera,coriacea,TF,2.1137,2.0666,0.8264,,1.50072604065828,780,57.02177608,3.180323964,-1.6178075
271,2021-03-02T00:00:00Z,3,25,3316,14,Dic.gui,Bafog,30,5,26,4,middle,,,Bafog,Dicorynia,guianensis,TF,1.8335,1.7333,0.7917,,1.18933939623595,842,68.38321757,11.03739711,-1.24827
272,2021-03-02T00:00:00Z,3,26,3320,1,Por.gui,Bafog,21,3,20,3,sup,,,Bafog,Poraqueiba,guianensis,TF,1.0571,1.0315,0.4072,,1.53315324165029,837,46.48487679,5.04614153,-1.98335
273,2021-03-02T00:00:00Z,3,34,42291,46,Dic.gui,Bafog,14,2,11,2,inf,erreur bota,erreur bota,,,,,1.887,1.8619,0.7687,,1.42214127748146,833,61.57616717,3.274118193,
274,2021-03-02T00:00:00Z,3,34,3433,8,Esc.cor,Bafog,23,3,20,3,middle,,,Bafog,Eschweilera,coriacea,TF,1.1366,1.2278,0.553,,1.22025316455696,823,97.18143114,1.546773105,-1.6417775
275,2021-03-02T00:00:00Z,3,34,3431,5,Por.gui,Bafog,20,2,20,2,sup,,,Bafog,Poraqueiba,guianensis,TF,3.0516,3.0723,1.2208,,1.51662844036697,827,64.23480097,4.626582484,-1.8974575
276,2021-03-02T00:00:00Z,3,26,15469,42,Con.gui,Bafog,20,2,16,3,middle,,,Bafog,Conceveiba,guianensis,TF,4.9068,4.9793,2.2084,,1.25470929179496,822,175.0524994,5.504476921,-1.467995
277,2021-03-02T00:00:00Z,3,34,3436,12,Pro.ste,Bafog,22,3,18,3,middle,,,Bafog,Protium,stevensonii,TF,1.1402,1.1106,0.5134,,1.16322555512271,791,53.39195975,4.304087085,-2.1890925
278,2021-03-02T00:00:00Z,3,34,3443,22,Hym.het,Bafog,26,3,22,2,inf,,,Bafog,Hymenopus,heteromorphus,TF,0.886,0.8847,0.4222,,1.09545239223117,832,47.98846753,3.736605841,-1.6297925
279,2021-03-02T00:00:00Z,3,34,15420,27,Tac.mel,Bafog,33,5,28,3,inf,,,Bafog,Tachigali,melinonii,TF,0.424600000000001,0.3944,0.1895,,1.08126649076517,822,12.9531747,4.187390355,-1.8015775
280,2021-03-02T00:00:00Z,3,35,3445,1,Hym.het,Bafog,22,2,20,2,middle,,,Bafog,Hymenopus,heteromorphus,TF,2.4001,2.4601,0.9937,,1.47569689040958,829,124.7532938,2.273588701,-1.3541375
281,2021-03-02T00:00:00Z,3,34,3438,15,Por.gui,Bafog,20,3,16,3,middle,,,Bafog,Poraqueiba,guianensis,TF,1.7893,1.8171,0.6854,,1.65115261161366,825,37.58435023,8.410448919,-1.995335
282,2021-03-02T00:00:00Z,3,41,3519,2,Pro.ste,Bafog,20,3,18,2,middle,,,Bafog,Protium,stevensonii,TF,0.9981,1.01,0.376,,1.68617021276596,759,35.5357001,7.038622408,-2.4727375
283,2021-03-02T00:00:00Z,3,41,42555,46,Dic.gui,Bafog,18,2,16,2,sup,,,Bafog,Dicorynia,guianensis,TF,1.1445,1.1691,0.411,,1.84452554744526,840,143.8767788,6.078017352,-1.523925
284,2021-03-02T00:00:00Z,3,41,42558,41,Dic.gui,Bafog,18,2,15,2,middle,,,Bafog,Dicorynia,guianensis,TF,1.1347,1.1299,0.4399,,1.56853830416004,826,115.3509235,5.396245905,-1.45601
285,2021-03-02T00:00:00Z,3,41,5145,16,Por.gui,Bafog,18,2,15,2,inf,,,Bafog,Poraqueiba,guianensis,TF,1.8811,1.9425,0.8201,,1.3686135837093,816,67.81469804,4.355607612,-1.859505
286,2021-03-02T00:00:00Z,3,41,15563,29,Hym.het,Bafog,18,3,15,3,middle,,,Bafog,Hymenopus,heteromorphus,TF,2.6413,2.694,1.1875,,1.26863157894737,806,109.1206815,2.437721626,-1.675735
287,2021-03-02T00:00:00Z,3,49,15646,20,Esc.cor,Bafog,20,3,9,2,inf,,,Bafog,Eschweilera,coriacea,TF,4.0522,4.1251,1.6553,,1.49205582069715,813,143.0653389,3.499199655,-1.4460225
288,2021-03-02T00:00:00Z,3,49,15656,35,Hym.het,Bafog,18,2,16,2,middle,,,Bafog,Hymenopus,heteromorphus,TF,0.9613,0.972,0.4146,,1.34442836468886,831,86.21392535,2.840721907,-1.5738625
289,2021-03-02T00:00:00Z,3,41,15562,27,Lic.mem,Bafog,24,5,22,4,middle,,,Bafog,Licania,membranacea,TF,1.5038,1.5686,0.7558,,1.07541677692511,809,46.71542068,26.69126719,-2.24702
290,2021-03-02T00:00:00Z,3,41,15560,24,Hym.het,Bafog,17,4,14,3,middle,,,Bafog,Hymenopus,heteromorphus,TF,2.3441,2.3732,0.8952,,1.65102770330652,822,104.7701962,2.483314693,-1.6817275
291,2021-03-03T00:00:00Z,3,60,15763,21,Esc.cor,Bafog,17,3,16,3,middle,,,Bafog,Eschweilera,coriacea,BF,3.3691,3.3128,1.3825,,1.39623869801085,819,,,-1.595835
292,2021-03-03T00:00:00Z,3,60,15761,14,Iry.hos,Bafog,15,2,11,3,middle,,,Bafog,Iryanthera,hostmannii,BF,1.4955,1.4814,0.6118,,1.42137953579601,812,,,-1.388095
293,2021-03-03T00:00:00Z,3,60,15768,30,Iry.hos,Bafog,18,3,15,3,middle,fruit,,Bafog,Iryanthera,hostmannii,BF,1.5064,1.5004,0.5342,,1.80868588543617,832,,,-1.412065
294,2021-03-03T00:00:00Z,3,60,3759,11,Esc.cor,Bafog,24,3,22,2,middle,,,Bafog,Eschweilera,coriacea,BF,3.0321,3.0423,1.2453,,1.44302577692122,829,,,-1.6457725
295,2021-03-03T00:00:00Z,3,60,43207,36,Car.sur,Bafog,20,4,18,3,sup,,,Bafog,Carapa,surinamensis,BF,5.3088,5.3335,1.9643,,1.71521661660643,824,,,-1.619805
296,2021-03-03T00:00:00Z,3,61,15775,23,Hym.het,Bafog,23,3,17,2,inf,,,Bafog,Hymenopus,heteromorphus,BF,2.4534,2.3279,0.8377,,1.77891846723171,824,,,-1.63179
297,2021-03-03T00:00:00Z,3,60,15765,26,Con.gui,Bafog,20,2,19,2,sup,,,Bafog,Conceveiba,guianensis,BF,1.4883,1.5177,0.6006,,1.52697302697303,793,,,-1.683725
298,2021-03-03T00:00:00Z,3,61,15776,24,Jac.cop,Bafog,24,2,24,3,sup,,,Bafog,Jacaranda,copaia,BF,0.6701,0.6472,0.2575,,1.51339805825243,841,,,
298,2021-03-03T00:00:00Z,3,61,15776,24,Jac.cop,Bafog,24,2,24,3,sup,,,Bafog,Jacaranda,copaia,BF,0.6701,0.6472,0.2575,,1.51339805825243,841,,,-1.4779825
299,2021-03-03T00:00:00Z,3,53,3659,9,Tac.mel,Bafog,27,4,20,3,inf,,,Bafog,Tachigali,melinonii,BF,0.225000000000001,0.2153,0.088,,1.44659090909091,797,,,-2.0772325
300,2021-03-03T00:00:00Z,3,61,3762,2,Esc.cor,Bafog,25,2,20,2,inf,,,Bafog,Eschweilera,coriacea,BF,0.9044,0.8265,0.3489,,1.36887360275151,783,,,-1.5578825
