Code,idTree,Genus,Species,Name,Forest,Habitat,Type,HabitatType,Gmin,FvFm,TLP,LA,SLA,LSWC,FW,SW,DW,Midrib VLA,2VLA,3VLA,MajVLA,MidribWidth,SecundaryWidth,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,LT,CC,LDMC,Xutm,Yutm,Latitude,Longitude,DBH,TWI
19,147656,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Paracou,TF,Generalist,TFGeneralist,4.73684346,0.744,-1.531915,23.5750125,102.6786259,1.238675958,0.5032,0.514,0.2296,0.379724,2.185963,7.010385,9.576071,0.033125,0.0116525,15,3,13,3,Sup,,,,"286,343.53","583,548.13",,,,
20,148077,Bocoa,prouacensis,Bocoa_prouacensis,Paracou,TF,Generalist,TFGeneralist,1.4619661,0.788,-1.6697425,46.38453611,62.52970627,1.159611755,1.5796,1.602,0.7418,0.245443,0.931822,2.011199,3.188464,0.05676,0.0156475,22,3,16,4,Mid,,,,"286,382.44","583,585.31",,,,
21,149561,Iryanthera,hostmannii,Iryanthera_hostmannii,Paracou,BF,BF,BFBF,0.79336752,0.812,-1.683725,39.94218889,39.26294003,1.268750614,2.3113,2.308,1.0173,0.327278,1.646388,4.575134,6.5488,0.023363333,0.01509833,12,2,11,4,Sup,,,,"286,527.72","583,620.50",,,,
22,149441,Carapa,surinamensis,Carapa_surinamensis,Paracou,BF,BF,BFBF,0.93299991,0.771,-1.7296675,99.92952778,120.2955673,1.732755507,2.2481,2.2701,0.8307,0.169072,0.913577,1.541017,2.623666,0.126690833,0.0332325,20,3,20,3,Sup,,,,"286,508.66","583,619.88",,,,
23,149447,Eperua,falcata,Eperua_falcata,Paracou,BF,BF,BFBF,1.23794501,0.771,-1.6697425,36.81113889,126.3684823,1.399931342,0.6896,0.6991,0.2913,0.296463,1.813617,3.949714,6.059794,0.065020833,0.01132083,26,4,20,4,Sup,,,,"286,513.44","583,626.00",,,,
24,149545,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Paracou,BF,Generalist,BFGeneralist,2.73389791,0.814,-1.41606,82.05984028,41.51355303,1.065057925,4.0111,4.082,1.9767,0.173446,0.850442,4.507337,5.531226,0.033635,0.0140325,18,3,16,3,Mid,,,,"286,523.94","583,638.50",,,,
25,,,,,Paracou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,149683,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Paracou,BF,Generalist,BFGeneralist,16.0589123,0.807,-1.4220525,13.60032639,75.81006906,1.051839465,0.3627,0.3681,0.1794,0.467681,2.201999,6.23557,8.90525,0.031396667,0.0125525,16,3,14,3,Sup,,,,"286,521.88","583,657.50",,,,
27,149727,Bocoa,prouacensis,Bocoa_prouacensis,Paracou,BF,Generalist,BFGeneralist,2.24874061,0.814,-1.779605,7.982997222,29.61052382,0.9477002967,0.5221,0.5251,0.2696,0.570594,3.229405,2.299446,6.099445,0.055935833,0.01004917,26,2,24,3,Sup,,,,"286,532.94","583,682.56",,,,
28,149733,Eperua,falcata,Eperua_falcata,Paracou,BF,BF,BFBF,1.90808437,0.807,-1.8854725,18.54248611,59.24116968,1.101597444,0.6302,0.6578,0.313,0.391678,1.864562,5.624531,7.880771,0.067226667,0.01015417,20,4,16,3,Mid,,,,"286,526.75","583,677.56",,,,
