Code,Genus,Species,Name,Habitat,Type,HabitatType,Forest,Gmin,TLP,LA,SLA,LSWC,MajVLA,K,P,C,N,MidribWidth,SecundaryWidth,DBH,TWI
2,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,TFTF,Paracou,-0.197935108372558,-0.647856884700138,3.98516074912591,4.75238513308218,0.610921389560859,1.54414732189655,2.00198999581593,-0.344773265021718,3.90680943837526,0.832909122935104,-2.81185637537473,-3.61426672365784,13.5350318471338,1.76273736778687
7,Licania,membranacea,Licania_membranacea,TF,TF,TFTF,Paracou,1.18328314070934,-0.666492582033291,3.70285180131622,4.31885277269951,0.216567635506844,0.98394339902167,1.68990527700506,-0.939587020403867,3.89304403883034,0.343589704390077,-3.15650761809749,-4.04037753544481,23.0891719745223,2.09482516956428
13,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,TFTF,Paracou,1.52998551099555,-0.279279998679824,3.88547526760097,4.28610209906888,0.456534463406211,1.45261262569913,1.91700600576354,-0.342336616532708,3.97349432751625,0.631271776841858,-3.77440104683798,-3.94588128217813,58.1210191082803,1.74191194500045
14,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,TFTF,Paracou,1.10049005788879,-0.294274668457004,3.47851445509028,3.91670938782136,0.456820396854246,1.47943856051771,1.9004595094612,-0.283073786928805,3.958906591327,0.751416088683921,-3.87424564109412,-4.61757986856905,30.4140127388535,1.74191194500045
29,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,TFTF,Paracou,0.583452017209518,-0.687804182131581,4.35754976573626,4.89969407275967,0.249114628245045,1.42725058663076,1.27752840630848,-0.573151377103197,3.94138761405805,0.113328685307003,-2.0921553568007,-3.01997373792703,15.2866242038217,1.71257991781684
30,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,TFTF,Paracou,0.822001502722305,-0.668541939152601,4.63081238822588,5.35730954846737,0.47263663626523,1.61373446900136,1.76026319152583,-0.501759858943515,3.93788566495387,0.0953101798043249,-2.09939938102078,-3.39070264456951,17.1974522292994,2.09482516956428
33,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,TFTF,Paracou,0.727665122228278,-0.649944750884033,3.83675653769116,4.80381438661896,0.81227363512694,1.63472976008142,2.42988798622521,-0.511884817847377,3.92197333628131,0.46373401623214,-3.22795862388595,-3.59648260484797,13.5350318471338,2.08986891343387
50,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,TFTF,Paracou,-0.155029013782951,-0.756668778556407,4.03860739283757,5.15579106709112,0.477956335683028,1.70377652951508,1.68882953435114,-0.715523043388707,3.85312189750799,0.542324290825362,-3.06406464893082,-4.05430687519057,14.0127388535032,2.07338742871488
51,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,TFTF,Paracou,1.94640480526418,-0.472391401247851,4.02935991689457,4.69178392481168,0.447248626252072,1.49599437253156,1.26651578632405,-0.728434125933219,3.94816205204402,0.553885113226438,-3.60883675874809,-4.09895517477978,15.2866242038217,2.07338742871488
74,Licania,membranacea,Licania_membranacea,TF,TF,TFTF,Paracou,1.20991291587864,-0.662381225001929,4.6882857317577,5.42121378232949,0.455988074651912,1.38225596777519,2.49694821657466,-0.902132657094073,3.91002100275747,0.22314355131421,-2.31036528031301,-3.30056050484074,17.6751592356688,2.25681953144898
88,Virola,michelii,Virola_michelii,TF,Generalist,TFGeneralist,Paracou,0.763447183378391,-0.544458639389094,4.03310626835119,5.23641262813396,0.438448331668827,2.04901274610381,1.75638892531832,-0.387242360517893,3.97462214718467,0.746687947487975,-2.73262470079319,-4.24708813249251,13.3757961783439,2.41992239376984
