"","Name","Type","Gmin","FvFm","TLP","SLA"
"1","sp_1","BF",3.82673301892857,0.799571428571429,-1.73070324074074,113.332001918571
"2","sp_2","TF",2.0257222,0.811545454545455,-1.74473954545455,89.53089193
"3","sp_3","Generalist",4.57965472225,92.44215,-1.790885,116.601709028947
"4","sp_4","Generalist",5.27808787093333,86.9962666666667,-2.099205,139.125534461786
"5","sp_5","Generalist",3.46856827027778,47.0437222222222,-1.7456475,157.190277220286
"6","sp_6","TF",6.2188637975,0.818583333333333,-1.49612645833333,167.943937010833
"7","sp_7","Generalist",1.730432297,0.763095238095238,-1.7576325,127.512495488571
"8","sp_8","TF",1.76095551734694,0.807836734693878,-1.62502295918367,113.062427105714
"9","sp_9","TF",3.56538629842105,0.787263157894737,-1.89524973684211,163.167771930526
"10","sp_10","Generalist",4.5455397755814,0.798159090909091,-1.60044827380952,101.808753833636
"11","sp_11","BF",1.90875746551724,0.784551724137931,-1.56564201923077,98.4308474906897
"12","sp_12","BF",3.193190123,0.8103,-1.56926825,102.2364996655
"13","sp_13","TF",3.69734867571429,0.816,-1.83973663793103,77.8064139434483
"14","sp_14","Generalist",6.64520424785714,0.821357142857143,-1.94554017857143,102.656958244286
"15","sp_15","BF",2.94871193354839,0.814677419354839,-1.89243153225806,89.558587339
"16","sp_16","BF",7.83984787436,199.26712,-2.13457739583333,98.6901515145833
"17","sp_17","Generalist",2.73448926466667,0.811966666666667,-1.61687533333333,152.852794895333
"18","sp_18","BF",2.92422694607143,0.794689655172414,-1.731665,107.673837326552
"19","sp_19","Generalist",3.12716067022727,19.2999777777778,-1.7441731547619,130.694849819333
"20","sp_20","TF",5.5054649969697,138.096818181818,-1.71883257575758,130.760276071212
"21","sp_21","TF",5.74733493192308,63.6498429487192,-1.66789865384615,80.3432926907692
"22","sp_22","BF",3.28188351954545,0.811090909090909,-1.90935170454545,134.135559326364
