"","plot","temp","sais_temp","prec","sais_prec","cwd","temp2","sais_temp2","prec2","sais_prec2","cwd2","Xutm","Yutm"
"1",11,1.12240539407286,-0.99197113567217,-1.30083645465361,-1.69929973975923,-1.21881457177811,1.13012853835722,-0.95048418429532,-1.26838249900412,-1.65413082913585,-1.10283190104443,170145,607196
"2",12,0.849387865784865,-0.896931984949088,-1.4099103837721,-1.93458739603359,-0.98619787418229,0.851863315897793,-0.866813545477415,-1.36174905975672,-1.85594756350146,-0.931558537951456,168043,607061
"3",13,0.849387865784865,-0.896931984949088,-1.4099103837721,-1.93458739603359,-0.98619787418229,0.851863315897793,-0.866813545477415,-1.36174905975672,-1.85594756350146,-0.931558537951456,168706,607119
"4",14,0.849387865784865,-0.896931984949088,-1.39744479187285,-1.69929973975923,-1.04435204858125,0.851863315897793,-0.866813545477415,-1.35114505827603,-1.65413082913585,-0.975335498294249,168892,607993
"5",15,0.576370337496873,-0.801892834226005,-1.12943456603884,-1.46401208348488,-1.42235418217446,0.574670406434355,-0.782394176110804,-1.11901047349629,-1.44720481035592,-1.24430817251721,179873.4,604046.7
"6",21,1.12240539407286,-0.754373258864464,-0.431361419680505,-0.522861458387456,-0.0848081709984768,1.13012853835722,-0.739903717471733,-0.47716179834788,-0.568407891093016,-0.171293334334004,228951.9,608541.7
"7",22,1.12240539407286,-0.825652621906776,-0.443827011579761,-0.522861458387456,-0.113885258197955,1.13012853835722,-0.803569211941398,-0.489095051934928,-0.568407891093016,-0.19821456724554,227984,608723
"8",23,0.849387865784865,-0.730613471183694,-0.484340185252343,-0.758149114661811,-0.520964478990645,0.851863315897793,-0.718588294663257,-0.527759672578517,-0.795771047530222,-0.558335985539904,225852,605050
"9",24,0.849387865784865,-0.730613471183694,-0.484340185252343,-0.758149114661811,-0.520964478990645,0.851863315897793,-0.718588294663257,-0.527759672578517,-0.795771047530222,-0.558335985539904,226491,604843
"10",25,0.849387865784865,-0.683093895822153,-0.515504165000484,-0.758149114661811,-0.550041566190123,0.851863315897793,-0.675817062068421,-0.557378411045112,-0.795771047530222,-0.582860669527564,224509.5,605195.8
"11",26,0.849387865784865,-0.683093895822153,-0.515504165000484,-0.758149114661811,-0.550041566190123,0.851863315897793,-0.675817062068421,-0.557378411045112,-0.795771047530222,-0.582860669527564,223998,605022
"12",31,0.576370337496873,-0.255417717568283,0.7933829844214,0.888864479258675,1.36904618897542,0.574670406434355,-0.28245275004196,0.7789058677431,0.903066020230926,1.37847496977218,321664.3,547832.4
"13",32,0.576370337496873,-0.0178198407605779,0.82454696416954,0.888864479258675,1.2527378401775,0.574670406434355,-0.0573656288371923,0.813026911731219,0.903066020230926,1.23979467204392,321746.4,547432
"14",33,0.849387865784865,-0.160378566845201,0.827663362144354,0.888864479258675,1.45627745057385,0.851863315897793,-0.192979449471583,0.816444912006309,0.903066020230926,1.48416277731509,322098.4,549261.3
"15",34,0.576370337496873,-0.207898142206742,0.76221900467326,0.888864479258675,1.45627745057385,0.574670406434355,-0.23780969107536,0.744892021505495,0.903066020230926,1.48416277731509,321364.6,549258.9
"16",35,0.303352809208881,-0.11285899148366,0.974134066960613,0.65357682298432,0.787504444985859,0.298549809966908,-0.147962025230629,0.97830011556132,0.645047157307804,0.710636669652195,322590.6,544395.1
"17",36,0.303352809208881,-0.0890992038028895,1.02711283253245,0.888864479258675,0.787504444985859,0.298549809966908,-0.125383119621211,1.03742664282273,0.903066020230926,0.710636669652195,322876.9,543871.7
"18",41,-1.33475236051907,0.124738885324045,1.09878998595317,0.65357682298432,-0.666349914988034,-1.33565519592198,0.0799328355317867,1.11791446582876,0.645047157307804,-0.679361706195619,343336.2,467039.6
"19",42,-1.33475236051907,0.124738885324045,1.09878998595317,0.65357682298432,-0.666349914988034,-1.33565519592198,0.0799328355317867,1.11791446582876,0.645047157307804,-0.679361706195619,342958.5,466854
"20",43,-1.06173483223108,0.100979097643275,0.977250464935427,0.65357682298432,-0.404656130192733,-1.06596847743048,0.0569327689887216,0.981769570756656,0.645047157307804,-0.458639550306682,343062.1,466424.1
"21",51,-0.242682247367103,1.07513039255487,1.03022923050726,1.12415213553303,0.0605772649989125,-0.250474443980017,1.03830793787558,1.04091432163565,1.16619416756837,-0.0342906208524526,366471.7,458682.7
"22",52,0.0303352809208889,1.12264996791641,1.08009159810429,1.12415213553303,-0.0848081709984768,0.0235015264954507,1.08819211068312,1.09686297158312,1.16619416756837,-0.171293334334004,367593,456361
"23",53,-0.242682247367103,0.813772728066391,1.09255719000355,1.12415213553303,0.00242309059995676,-0.250474443980017,0.767290877073623,1.11089301317019,1.16619416756837,-0.0895710160298484,368394.8,457195.6
"24",61,1.12240539407286,-0.326697080610595,-1.14813295388773,-0.993436770936166,0.0896543521983903,1.13012853835722,-0.349066371047155,-1.13546318424494,-1.01802491955311,-0.00641076837136708,188187.8,613335.9
"25",71,-1.06173483223108,-0.944451560310629,0.918038903413961,-0.287573802113101,-1.07342913578072,-1.06596847743048,-0.908742456204956,0.916033230198649,-0.33593545024149,-0.996984323573258,283966.6,553659
"26",1001,-0.242682247367103,-0.445496019014447,1.09878998595317,0.65357682298432,-0.869889525384379,-0.250474443980017,-0.459153159536597,1.11791446582876,0.645047157307804,-0.842087378126769,358086.5,486348.7
"27",1101,-0.515699775655096,1.62160550921259,-0.428245021705691,0.418289166709965,0.787504444985859,-0.523378101459494,1.62327707688186,-0.474175805007355,0.392137578799002,0.710636669652195,313622.9,451369.5
"28",1102,-0.515699775655096,1.62160550921259,-0.428245021705691,0.418289166709965,0.787504444985859,-0.523378101459494,1.62327707688186,-0.474175805007355,0.392137578799002,0.710636669652195,312865,451454
"29",1103,0.303352809208881,2.02552189978569,-1.3413496283262,0.418289166709965,2.00874210736393,0.298549809966908,2.07155609508998,-1.30321480006689,0.392137578799002,2.18691080675953,313127,446504
