Code,idTree,Genus,Species,Name,Forest,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,DBH,Xutm,Yutm,TWI
527,,Poraqueiba,guianensis,Poraqueiba_guianensis,Kaw,TF,TF,13,4,12,3,Sup,13,368924.51,504094.02,7.841443
528,,Tachigali,melinonii,Tachigali_melinonii,Kaw,TF,Generalist,37,5,35,5,Sup,,368927.41,504109.16,7.841443
529,,Bocoa,prouacensis,Bocoa_prouacensis,Kaw,TF,Generalist,35,5,31,4,Mid,45,368925.62,504032.98,7.841443
530,,Licania,membranacea,Licania_membranacea,Kaw,TF,TF,18,2,15,2,Inf,11,368925.22,504129.62,8.127021
531,,Licania,membranacea,Licania_membranacea,Kaw,TF,TF,16,3,14,2,Mid,10.5,368911.52,504022.17,6.924703
532,,,,_,Kaw,,,,,,,,,,,
533,,,,_,Kaw,,,,,,,,,,,
534,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,24,4,21,4,Sup,38.2,357834.42,521519.91,9.898855
535,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,26,5,24,5,Sup,57.3,357843.33,521539.57,9.898855
536,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,13,5,13,5,Sup,25.5,357828.88,521523.9,9.898855
537,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,13,5,12,5,Sup,26.4,357829.76,521521.13,9.898855
538,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,26,5,20,4,Inf,55,355555,521671.52,8.174161
539,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,18,2,16,3,Mid,22.7,355555.45,521671.96,8.174161
540,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,22,3,18,3,Mid,25.8,355559.54,521665.77,8.813516
541,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,15,3,15,3,Sup,22.4,355575.06,521662.42,8.813516
542,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,14,3,14,3,Sup,19.2,355576,521687.29,8.174161
