Code,Genus,Species,Name,Comment_bis,Count,ImageResolution,X10_echelle,X20_echelle,x40_echelle,StomataDensity,Comment,SD
582,Iryanthera,sagotiana,Iryanthera sagotiana,20,42,1392x1040,NA,0.2352,NA,178.5714286,,178.57142857142858
645,Iryanthera,hostmannii,Iryanthera hostmannii,20,69,1392x1040,NA,0.2352,NA,293.3673469,,293.36734693877554
646,Iryanthera,hostmannii,Iryanthera hostmannii,20,63,1392x1040,NA,0.2352,NA,267.8571429,,267.8571428571429
647,Iryanthera,hostmannii,Iryanthera hostmannii,20,73,1392x1040,NA,0.2352,NA,310.3741497,,310.374149659864
648,Iryanthera,hostmannii,Iryanthera hostmannii,20,63,1392x1040,NA,0.2352,NA,267.8571429,,267.8571428571429
649,Iryanthera,hostmannii,Iryanthera hostmannii,20,49,1392x1040,NA,0.2352,NA,208.3333333,,208.33333333333334
650,Iryanthera,hostmannii,Iryanthera hostmannii,20,33,1392x1040,NA,0.2352,NA,140.3061224,"pas super belle, peu de stomates car flou on one side",140.3061224489796
653,Iryanthera,hostmannii,Iryanthera hostmannii,20,58,1392x1040,NA,0.2352,NA,246.5986395,,246.59863945578232
654,Iryanthera,hostmannii,Iryanthera hostmannii,20,52,1392x1040,NA,0.2352,NA,221.0884354,,221.08843537414967
655,Iryanthera,hostmannii,Iryanthera hostmannii,20,77,1392x1040,NA,0.2352,NA,327.3809524,,327.3809523809524
656,Iryanthera,hostmannii,Iryanthera hostmannii,20,69,1392x1040,NA,0.2352,NA,293.3673469,,293.36734693877554
573,Jacaranda,copaia,Jacaranda copaia,20,57,1392x1040,NA,0.2352,NA,242.3469388,,242.3469387755102
577,Jacaranda,copaia,Jacaranda copaia,20,113,1392x1040,NA,0.2352,NA,480.4421769,,480.4421768707483
625,Jacaranda,copaia,Jacaranda copaia,20,101,1392x1040,NA,0.2352,NA,429.4217687,,429.421768707483
643,Jacaranda,copaia,Jacaranda copaia,20,78,1392x1040,NA,0.2352,NA,331.6326531,,331.6326530612245
644,Jacaranda,copaia,Jacaranda copaia,20,96,1392x1040,NA,0.2352,NA,408.1632653,,408.16326530612247
651,Jacaranda,copaia,Jacaranda copaia,20,90,1392x1040,NA,0.2352,NA,382.6530612,,382.6530612244898
652,Jacaranda,copaia,Jacaranda copaia,20,87,1392x1040,NA,0.2352,NA,369.8979592,,369.8979591836735
502,Jacaranda,copaia,Jacaranda copaia,20,80,1392x1040,NA,0.2352,NA,340.1360544,,340.13605442176873
504,Jacaranda,copaia,Jacaranda copaia,20,85,1392x1040,NA,0.2352,NA,361.3945578,,361.3945578231293
506,Jacaranda,copaia,Jacaranda copaia,20,116,1392x1040,NA,0.2352,NA,493.1972789,,493.19727891156464
508,Jacaranda,copaia,Jacaranda copaia,20,93,1392x1040,NA,0.2352,NA,395.4081633,,395.40816326530614
510,Jacaranda,copaia,Jacaranda copaia,20,91,1392x1040,NA,0.2352,NA,386.9047619,,386.9047619047619
514,Jacaranda,copaia,Jacaranda copaia,20,98,1392x1040,NA,0.2352,NA,416.6666667,,416.6666666666667
517,Jacaranda,copaia,Jacaranda copaia,20,155,1392x1040,NA,0.2352,NA,659.0136054,,659.0136054421769
524,Jacaranda,copaia,Jacaranda copaia,20,83,1392x1040,NA,0.2352,NA,352.8911565,,352.89115646258506
546,Laetia,procera,Laetia procera,40,89,1392x1040,NA,NA,0.0588,1513.605442,,1513.6054421768708
548,Laetia,procera,Laetia procera,40,70,1392x1040,NA,NA,0.0588,1190.47619,,1190.4761904761906
549,Laetia,procera,Laetia procera,40,73,1392x1040,NA,NA,0.0588,1241.496599,,1241.496598639456
555,Laetia,procera,Laetia procera,20,263,1392x1040,NA,0.2352,NA,1118.197279,,1118.1972789115646
570,Laetia,procera,Laetia procera,40,62,1392x1040,NA,NA,0.0588,1054.421769,,1054.4217687074831
626,Laetia,procera,Laetia procera,40,58,1392x1040,NA,NA,0.0588,986.3945578,,986.3945578231293
627,Laetia,procera,Laetia procera,40,67,1392x1040,NA,NA,0.0588,1139.455782,,1139.4557823129253
477,Poraqueiba,guianensis,Poraqueiba guianensis,20,112,1392x1040,NA,0.2352,NA,476.1904762,,476.1904761904762
