Code,Ptlp
474,-1.723675
475,-1.6437750000000002
476,-1.8615025
477,-1.85551
478,-2.251015
479,-1.8015775000000003
480,-1.9294175000000002
481,-1.4420275
482,-1.93541
483,-1.6158100000000002
484,-1.6657475
485,-2.259005
486,-2.11119
487,-1.60782
488,-1.7116900000000002
489,-1.6437750000000002
490,-2.1651225
491,-2.4108150000000004
492,-2.2550100000000004
493,-1.8095675000000002
494,-1.8095675000000002
495,-1.53591
496,-1.8854725
497,-1.723675
498,-2.3369075000000006
499,-1.843525
500,-1.4580075000000001
501,-2.019305
502,-1.6977075000000001
503,-1.7456475
504,-1.4699925
505,-1.7056975
506,-1.3341625000000001
507,-1.5638750000000001
508,-1.332165
510,-1.2702425000000002
511,-1.9593800000000001
512,-1.9613775000000002
513,-2.0173075000000003
514,-1.5319150000000001
515,-1.8535125000000001
516,-2.1171825
517,-1.4180575000000002
518,-1.5598800000000002
519,-1.515935
520,-1.6457725
521,-1.5458975000000001
522,-1.6617525000000002
523,-1.9913400000000003
524,-1.7156850000000001
525,-2.1032
526,-1.9114400000000002
527,-1.8575075
528,-1.6797300000000002
529,-1.8974575
530,-2.23903
531,-1.9973325000000002
534,-1.8834750000000002
535,-1.93541
536,-1.627795
537,-1.6697425000000001
538,-1.87948
539,-1.787595
540,-1.93541
541,-2.0133125
542,-2.0812275
543,-1.9673700000000003
544,-1.8075700000000001
545,-1.64777
546,-1.8654975
547,-1.84752
548,-1.7656225
549,-1.9513900000000002
550,-2.23903
551,-1.7017025000000001
552,-1.7096925000000003
553,-1.8615025
554,-2.2709900000000003
555,-1.83953
556,-1.7935875000000001
557,-1.8575075
558,-1.6158100000000002
559,-1.7716150000000002
560,-1.6697425000000001
561,-1.6777325
562,-1.8854725
563,-1.8814775000000001
564,-1.9134375000000001
565,-1.60782
566,-1.63179
567,-1.6697425000000001
570,-1.99933
571,-2.0372825
572,-1.71968
573,-1.35214
574,-1.7476450000000001
575,-1.60782
576,-2.0812275
577,-1.3481450000000001
578,-1.3022025
579,-1.64777
580,-1.8814775000000001
581,-1.611815
582,-1.5099425000000002
583,-1.57586
584,-1.8994550000000001
585,-1.9014525000000002
586,-1.6537625
587,-1.547895
588,-1.5818525
589,-1.9014525000000002
590,-1.6677450000000003
591,-1.483975
592,-1.452015
593,-1.5339125000000002
594,-1.6377825000000001
595,-1.5458975000000001
596,-1.57586
597,-1.6198050000000002
598,-1.515935
599,-2.1491425
600,-1.6337875000000002
601,-1.2762350000000002
602,-1.39209
603,-1.81556
604,-1.3960850000000002
605,-1.8654975
606,-1.8694925000000002
607,-1.6757350000000002
608,-1.5878450000000002
609,-1.7935875000000001
611,-2.0252975
612,-1.7416525
613,-1.7356600000000002
610,-1.8315400000000002
614,-1.475985
615,-1.6697425000000001
616,-1.8635000000000002
617,-1.5578825
618,-1.4020775
619,-1.3960850000000002
620,-1.539905
621,-1.571865
622,-1.4699925
623,-1.2902175
624,-1.452015
625,-1.4620025
626,-1.9553850000000002
627,-1.8954600000000001
628,-1.8834750000000002
629,-1.7276700000000003
630,-1.8255475
631,-1.5878450000000002
632,-1.9134375000000001
633,-1.9114400000000002
634,-1.8535125000000001
635,-2.0732375000000003
636,-1.7116900000000002
637,-1.6937125000000002
638,-1.7416525
639,-1.6937125000000002
640,-1.8275450000000002
641,-1.8914650000000002
642,-1.9833500000000002
643,-1.4899675000000001
644,-1.2742375000000001
645,-1.7017025000000001
646,-1.6737375
647,-1.5139375
648,-1.5698675
649,-1.6058225
650,-1.5618775
651,-1.3581325
653,-1.9214275
654,-1.7356600000000002
655,-1.63179
656,-1.7056975
