Code,DateField,Forest,idTree,Plot,Subplot,FieldNbr,Genus,Species,Name,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,Circ,DBH,CommentField,CommentLab
282,2021-03-02T00:00:00Z,Bafog,3519,3,41,2,Protium,stevensonii,Protium_stevensonii,TF,Generalists,20,3,18,2,Mid,80.5,25.63694268,,
283,2021-03-02T00:00:00Z,Bafog,42555,3,41,46,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,18,2,16,2,Sup,39,12.42038217,,
284,2021-03-02T00:00:00Z,Bafog,42558,3,41,41,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,18,2,15,2,Mid,49,15.60509554,,
285,2021-03-02T00:00:00Z,Bafog,5145,3,41,16,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,18,2,15,2,Inf,77.5,24.68152866,,
286,2021-03-02T00:00:00Z,Bafog,15563,3,41,29,Hymenopus,heteromorphus,Hymenopus_heteromorphus,TF,Generalists,18,3,15,3,Mid,65.5,20.85987261,,
287,2021-03-02T00:00:00Z,Bafog,15646,3,49,20,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalists,20,3,9,2,Inf,95,30.25477707,,
288,2021-03-02T00:00:00Z,Bafog,15656,3,49,35,Hymenopus,heteromorphus,Hymenopus_heteromorphus,TF,Generalists,18,2,16,2,Mid,58,18.47133758,,
289,2021-03-02T00:00:00Z,Bafog,15562,3,41,27,Licania,membranacea,Licania_membranacea,TF,TF,24,5,22,4,Mid,76.5,24.36305732,,
290,2021-03-02T00:00:00Z,Bafog,15560,3,41,24,Hymenopus,heteromorphus,Hymenopus_heteromorphus,TF,Generalists,17,4,14,3,Mid,69,21.97452229,,
291,2021-03-03T00:00:00Z,Bafog,15763,3,60,21,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,17,3,16,3,Mid,71,22.61146497,,
292,2021-03-03T00:00:00Z,Bafog,15761,3,60,14,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,15,2,11,3,Mid,52,16.56050955,,
293,2021-03-03T00:00:00Z,Bafog,15768,3,60,30,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,18,3,15,3,Mid,53.5,17.03821656,fruit,
294,2021-03-03T00:00:00Z,Bafog,3759,3,60,11,Eschweilera,coriacea,Eschweilera_coriacea,BF,Generalists,24,3,22,2,Mid,109.955743,35.01775255,,
295,2021-03-03T00:00:00Z,Bafog,43207,3,60,36,Carapa,surinamensis,Carapa_surinamensis,BF,BF,20,4,18,3,Sup,42.5,13.53503185,,
296,2021-03-03T00:00:00Z,Bafog,15775,3,61,23,Hymenopus,heteromorphus,Hymenopus_heteromorphus,BF,Generalists,23,3,17,2,Inf,58.5,18.63057325,,
297,2021-03-03T00:00:00Z,Bafog,15765,3,60,26,Conceveiba,guianensis,Conceveiba_guianensis,BF,Generalists,20,2,19,2,Sup,78.5,25,,
298,2021-03-03T00:00:00Z,Bafog,15776,3,61,24,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,BF,Generalists,24,2,24,3,Sup,67,21.33757962,,
