Code,Genus,Species,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA
360,Bocoa,prouacensis,0.240072505,1.2300156174999999,1.663134293,3.1332224155
365,Bocoa,prouacensis,0.2197701005,1.031792152,3.2995349655,4.551097218
372,Bocoa,prouacensis,0.24924905600000002,1.235633851,1.6099105589999998,3.0947934665
373,Bocoa,prouacensis,0.1675342025,0.939150641,2.67856075,3.7852455935
377,Bocoa,prouacensis,0.1330247745,0.802689243,1.7161233674999998,2.651837385
382,Bocoa,prouacensis,0.27556049699999996,1.3556113105,2.146481549,3.7776533565
453,Bocoa,prouacensis,0.1742531785,1.0757153444999998,3.6592956195,4.909264143
463,Bocoa,prouacensis,0.18914295,0.886924074,1.8788144445000001,2.9548814685
469,Bocoa,prouacensis,0.22438701249999998,1.2343896805,3.0187019944999998,4.477478687
472,Bocoa,prouacensis,0.23816018,1.1736769465,2.9021789455,4.3140160715
295,Carapa,surinamensis,0.1525577775,0.994378679,2.3382010085,3.485137465
248,Casearia,javitensis,0.29298082950000004,1.249137765,3.6590491405,5.201167735
363,Casearia,javitensis,0.27508818150000003,1.270313331,3.6586521239999996,5.2040536365
380,Casearia,javitensis,0.235967017,1.0334084225,2.8523226790000002,4.1216981184999995
416,Casearia,javitensis,0.241530152,1.1706904310000001,2.846903259,4.259123841499999
423,Casearia,javitensis,0.1921569205,0.839436649,3.432110583,4.463704152
424,Casearia,javitensis,0.2165746905,1.061405632,3.900765636,5.178745958
429,Casearia,javitensis,0.422487677,2.1914989074999998,5.7680464685,8.3820330525
467,Casearia,javitensis,0.1927351995,0.9045587635,1.4045831309999999,2.501877094
471,Casearia,javitensis,0.16410919000000002,0.7610220489999999,1.4115615515,2.336692791
256,Chrysophyllum,prieurii,0.2371077125,1.3039673980000002,2.9683736825000002,4.509448793000001
317,Chrysophyllum,prieurii,0.1306735455,0.725253484,2.395343909,3.2512709385
324,Chrysophyllum,prieurii,0.2065685125,1.2315920255,2.2594260005,3.6975865385
330,Chrysophyllum,prieurii,0.2903330785,2.2221894979999997,4.363053562999999,6.87557614
368,Chrysophyllum,prieurii,0.218248311,1.234692031,2.252949871,3.705890212
374,Chrysophyllum,prieurii,0.1296157845,0.786358168,1.2401992795,2.1561732325
376,Chrysophyllum,prieurii,0.228240662,1.417411726,2.2250927635,3.8707451525
383,Chrysophyllum,prieurii,0.12717987149999999,0.8195088125000001,1.218164375,2.1648530595000004
395,Chrysophyllum,prieurii,0.1961854315,1.244812206,2.9814357165,4.422433354000001
425,Chrysophyllum,prieurii,0.3344122355,1.8183709860000001,3.984603046,6.1373862685
446,Chrysophyllum,prieurii,0.184306764,1.181745574,2.344892213,3.7109445515
249,Conceveiba,guianensis,0.085231494,0.5048014725000001,1.3604050184999998,1.9504379855
254,Conceveiba,guianensis,0.211046606,0.9032468555,2.293253139,3.4075466
276,Conceveiba,guianensis,0.1368463955,0.634064549,1.276302568,2.0472135125
297,Conceveiba,guianensis,0.36167763750000004,1.6066941445,2.6495268884999996,4.617898671
302,Conceveiba,guianensis,0.18646363900000001,0.875589396,2.473665584,3.535718619
355,Conceveiba,guianensis,0.14313025899999998,0.7841345295,1.3291580355,2.256422824
359,Conceveiba,guianensis,0.163650533,0.8045028274999999,1.9116942615,2.8798476225
390,Conceveiba,guianensis,0.118851032,0.6309413935,1.8156718095,2.565464235
401,Conceveiba,guianensis,0.1099390665,0.629824613,1.136823639,1.8765873185
402,Conceveiba,guianensis,0.1945561065,1.0073971130000001,2.4902417715,3.6921949905
428,Conceveiba,guianensis,0.19569160949999997,1.3059660565,3.629623472,5.1312811375
432,Conceveiba,guianensis,0.18358815950000001,0.8014646405,2.3973063640000003,3.3823591635000003
440,Conceveiba,guianensis,0.1706968845,0.955528597,3.2211458855,4.347371367
444,Conceveiba,guianensis,0.164339103,0.811781256,54.856092576,55.8322129415
462,Conceveiba,guianensis,0.1178104365,0.7156864805,2.098720226,2.932217143
468,Conceveiba,guianensis,0.18437587849999998,0.7996357105,1.900396472,2.8844080610000002
259,Dicorynia,guianensis,0.188775123,1.364157804,2.8294554974999997,4.3823884245
269,Dicorynia,guianensis,0.34138939749999997,2.1764894569999997,4.725242658,7.2431215125
271,Dicorynia,guianensis,0.2140559205,1.5200052135,3.2915247819999998,5.025585915500001
283,Dicorynia,guianensis,0.1573284865,1.2341065725,2.943522695,4.3349577544999995
284,Dicorynia,guianensis,0.172100222,1.1496278615,2.9481311045,4.2698591875
352,Dicorynia,guianensis,0.203682352,1.3369226424999998,1.7709253815000001,3.311530376
246,Eschweilera,coriacea,0.24921518450000002,1.4259513190000002,2.922331218,4.597497722
258,Eschweilera,coriacea,0.184025326,1.0721699535,1.766877368,3.023072648
262,Eschweilera,coriacea,0.226216352,1.1209370735,2.4201951745,3.7673485995
264,Eschweilera,coriacea,0.190137565,1.1708147814999998,2.1153140465,3.476266393
270,Eschweilera,coriacea,0.233618846,1.373993389,3.6540118395,5.261624074
274,Eschweilera,coriacea,0.2130432715,1.1300601705,3.0010667570000003,4.344170199000001
287,Eschweilera,coriacea,0.1581138125,0.8484339795,1.377704136,2.3842519275000003
291,Eschweilera,coriacea,0.16841639349999998,1.0171263815,3.2750164515,4.460559226
294,Eschweilera,coriacea,0.2356575695,1.2948683325,3.185386619,4.7159125215
300,Eschweilera,coriacea,0.2155184625,1.2939687025,3.8974106155,5.4068977799999995
301,Eschweilera,coriacea,0.214158615,1.1718062455,3.35851246,4.7444773205
305,Eschweilera,coriacea,0.274573391,1.34045122,3.6066296295,5.2216542404999995
309,Eschweilera,coriacea,0.2031534495,1.1907602819999998,1.930740733,3.324654464
310,Eschweilera,coriacea,0.187217376,1.082834405,1.8971757409999999,3.1672275215
314,Eschweilera,coriacea,0.175292523,1.1062349955,1.7377666885,3.019294206
315,Eschweilera,coriacea,0.1484134805,1.042407699,1.59160086,2.78242204
454,Eschweilera,coriacea,0.1494984445,1.0193720755,1.9519598405,3.1208303595
456,Eschweilera,coriacea,0.208681193,1.134964332,1.3864201875,2.7300657125
459,Eschweilera,coriacea,0.1332702645,0.9355687735,1.554008788,2.6228478255
250,Gustavia,hexapetala,0.2167907835,1.051455786,1.2782851924999998,2.5465317625
328,Gustavia,hexapetala,0.24115350600000002,1.211249766,1.224017884,2.6764211565
357,Gustavia,hexapetala,0.221842559,1.2315351165,1.6958954505000001,3.1492731259999998
369,Gustavia,hexapetala,0.2855050175,1.1886746365,1.9875512894999998,3.461730943
370,Gustavia,hexapetala,0.2794850795,1.23700884,1.226373362,2.742867281
379,Gustavia,hexapetala,0.2106416065,0.9210518865,2.495911329,3.627604822
387,Gustavia,hexapetala,0.28764774699999995,1.4946865635000002,3.2281329100000002,5.010467220500001
388,Gustavia,hexapetala,0.2099059255,0.8786371055,3.0470427129999997,4.1355857435
431,Gustavia,hexapetala,0.2182825545,0.9568704045,1.03962511,2.2147780685000003
278,Hymenopus,heteromorphus,0.2598510415,1.8371927425,5.023334119,7.120377903
280,Hymenopus,heteromorphus,0.165243184,1.2682918349999999,8.325373990500001,9.7589090085
286,Hymenopus,heteromorphus,0.1809581545,1.3691834305000001,5.489529448,7.039671033
288,Hymenopus,heteromorphus,0.214127649,1.4984268785000001,7.8332308305,9.545785356500001
290,Hymenopus,heteromorphus,0.1850534325,1.45623821,6.736295557,8.3775871995
296,Hymenopus,heteromorphus,0.157347769,1.333178394,5.941544969000001,7.432071131500001
303,Hymenopus,heteromorphus,0.46112662400000004,4.5474889555,2.589824561,7.598440141499999
312,Hymenopus,heteromorphus,0.174854727,1.3956157939999998,6.689208993499999,8.259679513999998
313,Hymenopus,heteromorphus,0.1805154915,1.134068195,6.3843772014999995,7.6989608885
419,Hymenopus,heteromorphus,0.344027901,1.808199525,7.5286207325,9.680848158
427,Hymenopus,heteromorphus,0.28148118099999997,2.1937914459999996,1.8166390795,4.2919117065000005
448,Hymenopus,heteromorphus,0.2075098965,1.2441003995000002,7.560908618000001,9.0125189145
452,Hymenopus,heteromorphus,0.1870632115,1.3614172385,5.5408474375,7.0893278875
457,Hymenopus,heteromorphus,0.1889713725,1.465933519,7.1023723274999995,8.757277219
265,Iryanthera,hostmannii,0.45178274549999997,2.0826007989999997,4.421896111,6.9562796554999995
267,Iryanthera,hostmannii,0.3257858395,1.5032599960000002,2.0525322555,3.881578091
292,Iryanthera,hostmannii,0.269516716,1.4427578085000001,3.2872452055,4.99951973
293,Iryanthera,hostmannii,0.280643816,1.389348316,1.336538861,3.006530993
308,Iryanthera,hostmannii,0.2603117935,1.2814359075000001,3.2370762235,4.7788239245
333,Iryanthera,hostmannii,0.25070561150000004,1.291100232,1.3315884205000001,2.8733942635
350,Iryanthera,hostmannii,0.2676423235,1.4830891465,2.2407773,3.9915087700000003
414,Iryanthera,hostmannii,0.1825543795,1.095178186,1.477145879,2.7548784445
415,Iryanthera,hostmannii,0.25684394450000003,1.3802714470000002,2.436171792,4.0732871835
443,Iryanthera,hostmannii,0.24447701100000002,1.148232919,2.2802994775,3.6730094075
252,Iryanthera,sagotiana,0.3891098315,2.059866168,4.772717709,7.2216937085
260,Iryanthera,sagotiana,0.275883683,1.6498547970000002,4.3480077935,6.2737462735000005
356,Iryanthera,sagotiana,0.27651944149999996,1.5834768595,5.9464485929999995,7.806444894
362,Iryanthera,sagotiana,0.33904224250000004,2.1278433735,4.29144522,6.758330836
417,Iryanthera,sagotiana,0.2264290135,1.256367199,4.343716453,5.8265126655
245,Jacaranda,copaia,0.541372065,2.2178819169999997,4.4052774275,7.164531409
298,Jacaranda,copaia,0.302610008,1.0986163405,2.3293550119999997,3.73058136
320,Jacaranda,copaia,0.3444035905,1.4839555245,2.9910776375,4.8194367525
371,Jacaranda,copaia,0.3723123305,1.442437976,4.1405374395,5.955287746
396,Jacaranda,copaia,0.46451708550000004,1.8052066185,3.7876985540000003,6.0574222575
405,Jacaranda,copaia,0.45960702649999996,1.6596162705,3.100927911,5.220151208000001
426,Jacaranda,copaia,0.38219821,1.404002928,3.8142364265,5.6004375645
447,Jacaranda,copaia,0.44468037149999995,1.9335328404999998,5.625726093,8.003939305
449,Jacaranda,copaia,0.463983653,2.0782094395,3.5311351325,6.073328225
450,Jacaranda,copaia,0.4175559305,1.58711485,2.6671715295,4.6718423105
464,Jacaranda,copaia,0.40705456149999997,1.5708323714999999,4.100190748999999,6.078077682
465,Jacaranda,copaia,0.372090027,1.6661461735,3.12055653,5.158792731
470,Jacaranda,copaia,0.46764428849999995,1.823769343,5.127079967,7.4184935985
311,Laetia,procera,0.2470780065,1.3924694895,8.042031075,9.68157857
318,Laetia,procera,0.3181290235,2.052493621,6.698396872,9.0690195165
343,Laetia,procera,0.17505235600000002,1.032293486,4.201234923,5.408580765
344,Laetia,procera,0.254317416,1.4219246405,5.155316771,6.8315588275
385,Laetia,procera,0.3139743435,1.7813075285,8.6816173125,10.776899185000001
394,Laetia,procera,0.2501052335,1.4300596005,4.123148404,5.8033132385
406,Laetia,procera,0.26725205949999997,1.4123458645,7.5332481815,9.212846106
407,Laetia,procera,0.18862928,0.9124894535000001,4.7617300515,5.862848785000001
433,Laetia,procera,0.34792891800000003,1.8303254575,6.4025382205,8.5807925955
441,Laetia,procera,0.1798691645,1.0716479374999999,4.711047987500001,5.96256509
253,Licania,membranacea,0.1731431055,0.7957003145,7.558896083,8.5277395035
289,Licania,membranacea,0.2355688155,1.7270448250000001,5.310461706,7.273075346
