Code,idTree,Name,Genus,Species,Family,TLP,ptlp_Marechaux2016,Forest,Habitat,Type,Gmin,DateField,Plot,SubPlot,FieldNbr,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,Nitrogen,Carbon,X.S,Phosphorous,Fe..g.kg.,Mn..g.kg.,Mg..g.kg.,Al..g.kg.,Ca..g.kg.,Na..g.kg.,Potassium,Cr..mg.kg.,Cu..mg.kg.,Ni..mg.kg.,Pb..mg.kg.,Rb..mg.kg.,Sr..mg.kg.,Zn..mg.kg.,LSWC,SD,fvfm,Xutm,Yutm,Latitude,Longitude,DBH,TWI
14,146475,Dicorynia_guianensis,Dicorynia,guianensis,Fabaceae,-1.33612,-1.3421525,Paracou,TF,TF,3.006559784,26/10/2020,15,2,218,0.311391576,1.660683584,2.418404907,4.390480067,2.12,52.4,0.108,0.753464188,0.115279958,0.04627,0.857775667,0.034128182,1.543439545,0.102941,6.688967385,9.69981515,10.2706,2.488010818,0,21.465,20.14190909,10.6545,157.9045,278.8461538,0.818,"286,447.97","583,684.31",NA,NA,30.41401274,5.708247
15,147620,Casearia_javitensis,Casearia,javitensis,Salicaceae,-2.04748,-2.0252975,Paracou,TF,TF,2.22991396,26/10/2020,15,3,135,0.195771868,0.799828265,2.285321918,3.280922051,1.4,51.51,0.079,0.548141975,0.067678441,0.029470794,1.339766018,0.030437526,4.779769891,0.099142287,3.383392296,6.495089183,10.84183724,2.710315345,0,9.540688967,42.92502156,9.939590614,103.9659,352.5641026,0.797,"286,328.66","583,584.06",NA,NA,14.96815287,5.82837
16,148282,Hymenopus_heteromorphus,Hymenopus,heteromorphus,Chrysobalanaceae,-1.53788,-1.53591,Paracou,TF,Generalist,2.119268592,26/10/2020,15,3,798,0.261319896,1.216713785,4.355341033,5.833374714,0.96,50.68,0.138,0.458247692,0.051976006,0.017205589,3.04119328,0.028436309,4.913612321,0.132725549,6.775416552,2.798922305,8.650798403,0.994332154,0,20.77345309,52.7314462,6.726047904,142.5612,227.5641026,0.747,"286,400.97","583,597.13",NA,NA,17.03821656,7.018794
17,147574,Bocoa_prouacensis,Bocoa,prouacensis,Fabaceae,-1.9518,-1.9334125,Paracou,BF,Generalist,3.648439954,26/10/2020,15,3,89,0.383592788,1.506544273,1.437168862,3.327305923,1.7,55.87,0.12,0.347919389,0.10549123,0.104812968,1.377831089,0.086162775,0.864777601,0.603482294,1.415927566,1.222795661,2.269925187,1.946489594,0,3.362094763,13.85477216,3.101745636,65.6269,250,0.789,"286,308.56","583,612.19",NA,NA,24.52229299,8.069946
18,148283,Chrysophyllum_prieurii,Chrysophyllum,prieurii,Sapotaceae,-2.67772,-2.63054,Paracou,TF,Generalist,0.897533342,26/10/2020,15,3,799,0.327076567,1.299870255,7.532606517,9.159553339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.9318,224.3589744,0.785,"286,400.50","583,598.56",NA,NA,28.66242038,7.018794
19,147656,Hymenopus_heteromorphus,Hymenopus,heteromorphus,Chrysobalanaceae,-1.53372,-1.531915,Paracou,TF,Generalist,4.729027161,26/10/2020,15,3,171,0.379723696,2.185962679,7.010384555,9.576070931,1.26,49.99,0.204,0.430314188,0.183954958,0.069,2.402275667,0.170353182,3.168439545,1.054991,2.839967385,7.148198483,7.3331,5.232695818,0,4.9695,33.92940909,8.0245,123.8676,205.1282051,0.744,"286,343.53","583,548.13",NA,NA,15.76433121,5.82837
20,148077,Bocoa_prouacensis,Bocoa,prouacensis,Fabaceae,-1.67724,-1.6697425,Paracou,TF,Generalist,1.461874177,26/10/2020,15,3,593,0.245443203,0.931822164,2.011199059,3.188464425,1.9,54.24,0.109,0.523940247,0.149930028,0.04463037,1.135140526,0.168110072,1.068371174,1.282708292,4.704263121,2.536875774,4.183916084,2.379491327,0,23.77372627,13.0163927,6.193306693,115.9612,233.974359,0.788,"286,382.44","583,585.31",NA,NA,18.78980892,5.82837
156,144042,Poraqueiba_guianensis,Poraqueiba,guianensis,Metteniusaceae,-2.09948,-2.075235,Paracou,TF,TF,1.728465905,09/11/2020,14,3,814,0.209183233,1.010781014,3.30745374,4.527417986,1.12,50.19,0.137,0.386825241,0.113593945,0.018712055,5.002745754,0.223955045,5.806579421,0.367796489,3.590250107,2.352956062,3.923683459,1.267632368,0,12.07292707,61.77908455,6.011488511,119.0406,298.0769231,0.822,"285,975.50","583,309.38",NA,NA,19.9044586,5.588491
157,143500,Protium_opacum subsp. rabelianum,Protium,opacum subsp. rabelianum,Burseraceae,-2.31372,-2.2809775,Paracou,BF,BF,3.07,09/11/2020,14,3,271,0.34455465,1.751753425,4.200868001,6.297176076,1.14,51.46,0.18,0.5205665,0.06431822,0.019676091,1.480268232,0.069384615,5.941444555,0.999864421,5.438152205,1.311430088,2.949657485,0.817672328,0,7.807192807,54.98587776,4.9000999,132.8876,349.3589744,NA,"285,803.81","583,255.13",NA,NA,24.52229299,10.655679
158,144184,Iryanthera_hostmannii,Iryanthera,hostmannii,Myristicaceae,-1.671,-1.66375,Paracou,BF,BF,1.421051191,09/11/2020,14,3,2659,0.19506465,1.083970101,3.37392106,4.65295581,1.48,50.95,0.107,0.845241825,0.052105433,0.083672095,2.742505994,0.079124875,5.756629371,0.05810618,11.36722313,1.421025492,8.141965178,2.573091908,0,55.24475524,55.53532831,20.66933067,131.4822,118.5897436,0.801,"285,827.13","583,249.56",NA,NA,12.42038217,10.655679
159,143542,Eschweilera_coriacea,Eschweilera,coriacea,Lecythidaceae,-1.69388,-1.6857225,Paracou,TF,Generalist,1.139939174,09/11/2020,14,3,314,0.239431497,1.193406169,5.355810193,6.788647858,1.35,54.47,0.383,0.407040587,0.156885981,0.060936235,2.812154577,0.181194597,2.412342171,1.543135854,3.187684199,1.857007522,4.099656971,1.288184092,0,19.14457229,62.42207467,10.49024512,125.8674,492.4242424,0.812,"285,816.31","583,207.88",NA,NA,30.41401274,8.119463
160,143554,Poraqueiba_guianensis,Poraqueiba,guianensis,Metteniusaceae,-2.03916,-2.0173075,Paracou,TF,TF,4.191577323,09/11/2020,14,3,326,0.260763445,1.256630627,3.404743833,4.922137905,1.13,47.68,0.14,0.640087067,0.040622538,0.007480767,6.4727485,0.033849,3.058636,0.376264286,5.618590357,1.720121518,4.297607143,0.456195,0,24.9075,40.89836364,7.6675,172.1575,304.4871795,0.813,"285,819.16","583,193.13",NA,NA,23.40764331,8.119463
161,143929,Chrysophyllum_prieurii,Chrysophyllum,prieurii,Sapotaceae,-2.23676,-2.20707,Paracou,BF,Generalist,1.223510792,09/11/2020,14,3,701,0.13031324,0.643048793,2.946946365,3.720308397,1.89,52.38,0.124,0.530617684,0.090197736,0.016757524,2.149397898,0.067121121,14.1114975,0.328292578,5.388979336,4.078731916,8.273380523,3.220840841,0,10.92592593,152.8937574,5.605605606,142.8831,173.0769231,0.802,"285,868.72","583,206.94",NA,NA,32.1656051,6.838751
162,143947,Jacaranda_copaia subsp. copaia,Jacaranda,copaia subsp. copaia,Bignoniaceae,-1.5566,-1.5538875,Paracou,TF,Generalist,6.194282539,09/11/2020,14,3,719,0.330026196,1.727439346,2.81690995,4.874375491,2.08,53.36,0.354,0.544997073,0.108266006,0.027645476,4.725796906,0.138477046,5.875634731,0.476561163,2.411766823,1.280136245,14.06447819,1.863283433,0,3.896706587,93.65355652,10.95808383,122.3089,272.4358974,0.794,"285,874.50","583,190.94",NA,NA,22.61146497,6.838751
163,143969,Tachigali_melinonii,Tachigali,melinonii,Fabaceae,-1.94556,-1.92742,Paracou,TF,Generalist,2.804091627,09/11/2020,14,3,741,0.690041861,2.232274186,5.488820456,8.411136503,2.6,46.05,0.117,0.667917273,0.053997545,0.146689044,1.415709227,0.008298254,2.614599501,0.28245814,6.382633773,2.303146152,12.87292483,0.765715711,0,25.31421446,21.05572433,10.34413965,127.1545,339.7435897,0.802,"285,882.22","583,177.19",NA,NA,58.12101911,6.838751
164,143250,Bocoa_prouacensis,Bocoa,prouacensis,Fabaceae,-1.89148,-1.875485,Paracou,BF,Generalist,2.22473673,09/11/2020,14,3,20,0.287212102,1.195661976,2.481054185,3.963928263,2.25,60.21,0.122,0.490791671,0.058453312,0.047117208,3.014741129,0.056175912,1.360205897,0.582073249,5.83067502,2.053025005,3.300956665,1.950994503,0,24.55022489,17.08232248,4.658670665,100.3451,253.2051282,0.805,"285,784.84","583,181.81",NA,NA,26.27388535,8.119463
165,143346,Laetia_procera,Laetia,procera,Salicaceae,-2.07868,-2.05526,Paracou,BF,BF,0.861663981,09/11/2020,14,3,116,0.149847517,1.009542308,3.426168451,4.585558274,1.42,45.43,0.093,0.864383642,0.044975001,0.042063862,2.958185779,0.004110165,2.846155233,0.803068889,12.36213356,2.367968471,7.987087775,2.582183275,0,51.52729094,43.36591251,13.03955934,157.5031,782.8282828,0.822,"285,782.97","583,228.06",NA,NA,32.1656051,8.119463
166,143641,Poraqueiba_guianensis,Poraqueiba,guianensis,Metteniusaceae,-1.83116,-1.8175575,Paracou,TF,TF,1.445449755,09/11/2020,14,3,413,0.179695164,0.986224133,3.255312542,4.421231839,0.93,53.18,0.152,0.378265332,0.056213752,0.008829596,4.40114965,0.077031031,4.09423023,0.170885171,2.608949306,2.28537189,3.581188331,0.68511011,0,9.98998999,50.74160524,6.133633634,133.7578,352.5641026,0.778,"285,822.09","583,228.31",NA,NA,11.94267516,8.119463
167,143877,Eschweilera_coriacea,Eschweilera,coriacea,Lecythidaceae,-1.63772,-1.63179,Paracou,BF,Generalist,0.752451762,09/11/2020,14,3,649,0.18174156,0.981171823,4.697256609,5.860169992,1.69,54.88,0.187,0.603380306,0.129623292,0.482141484,1.807633234,0.065522954,6.214956088,0.163387511,5.562465426,1.890488042,18.45569575,1.101636727,0,32.36277445,244.7014607,14.70558882,113.8375,435.8974359,0.8,"285,838.38","583,263.88",NA,NA,25.47770701,10.655679
168,144204,Jacaranda_copaia subsp. copaia,Jacaranda,copaia subsp. copaia,Bignoniaceae,-1.52124,-1.51993,Paracou,BF,Generalist,2.988961049,09/11/2020,14,3,2679,0.391153687,1.007191569,2.229195103,3.627540359,2.14,48.68,0.293,0.490814102,0.112990013,0.027128588,3.197241604,0.15952782,4.35276792,0.678560687,2.280792338,1.434382474,15.83218761,2.974070175,0,4.169924812,56.73269537,6.654135338,128.0143,189.1025641,0.795,"285,791.66","583,261.38",NA,NA,12.42038217,10.655679
169,144207,Tachigali_melinonii,Tachigali,melinonii,Fabaceae,-1.77708,-1.7656225,Paracou,TF,Generalist,1.525445517,09/11/2020,14,3,2682,0.378414045,1.479070485,3.08998002,4.947464551,3.22,51.62,0.179,0.753087067,0.076907538,0.387355767,1.7227485,0.008604,4.997386,0.252314286,6.983590357,5.487748185,11.76260714,0.580275,0,35.7925,23.61836364,9.985,127.4098,NA,0.83,"285,877.19","583,237.50",NA,NA,26.59235669,7.270682
170,144835,Iryanthera_sagotiana,Iryanthera,sagotiana,Myristicaceae,-1.5982,-1.5938375,Paracou,TF,TF,1.006987509,09/11/2020,14,4,593,0.377409131,2.068252658,6.721798679,9.167460468,1.11,48.76,0.112,0.58475658,0.073078696,0.052610989,4.608966433,0.069042084,1.912711423,1.53643716,6.115822001,0.950868254,6.56573862,1.928456914,0,17.0991984,22.82150665,14.37875752,164.2501,73.71794872,0.817,"285,956.22","583,226.81",NA,NA,16.24203822,5.770796
175,144269,Dicorynia_guianensis,Dicorynia,guianensis,Fabaceae,-1.45468,-1.45601,Paracou,TF,TF,2.683131642,09/11/2020,14,4,26,0.181327882,1.099401115,3.948591995,5.229320992,2.36,52.05,0.115,1.015594864,0.059087082,0.048129832,0.913705353,0.005316658,1.0263992,0.01766812,7.142161438,2.67520412,10.25523476,3.788289145,0,34.51725863,9.930829051,10.70535268,156.9881,NA,0.834,"285,905.13","583,209.50",NA,NA,25.15923567,6.838751
140,126739,Poraqueiba_guianensis,Poraqueiba,guianensis,Metteniusaceae,-1.95596,-1.9374075,Paracou,TF,TF,3.850352385,12/11/2020,11,1,216,0.233860421,1.110345883,3.095570837,4.439777141,1.06,51.46,0.157,0.453060536,0.08061723,0.01551301,5.909793603,0.101403298,7.608581709,0.542592989,4.43087492,1.424821607,4.630291997,0.338305847,0,13.11344328,77.35218754,10.32983508,121.2291,314.1025641,0.831,"286,126.28","581,360.88",NA,NA,13.37579618,7.750878
177,128304,Jacaranda_copaia subsp. copaia,Jacaranda,copaia subsp. copaia,Bignoniaceae,-1.83948,-1.8255475,Paracou,TF,Generalist,5.544733762,12/11/2020,11,2,558,0.483420463,1.799544688,5.559386679,7.842351829,2.38,53.14,0.167,0.772700716,0.10115696,0.019720906,2.884306347,0.045751124,2.528871564,1.292717927,3.01233419,8.907944212,11.8266938,5.767386307,0,10.99450275,34.69851438,9.105447276,205.7091,275.6410256,0.822,"286,267.34","581,461.56",NA,NA,20.54140127,7.776605
178,131244,Pterocarpus_officinalis,Pterocarpus,officinalis,Fabaceae,-1.40476,-1.40807,Paracou,BF,BF,3.995808821,12/11/2020,11,4,2848,0.227235673,0.965307928,3.083099218,4.275642818,2.79,52.03,0.164,1.483312035,0.075746158,0.036425405,2.220078618,0.006694041,2.044452679,0.031506546,14.03964983,6.064378085,12.43125402,8.050846269,0,92.38858287,13.02039423,22.19829745,209.2991,NA,0.817,"286,362.72","581,327.88",NA,NA,21.81528662,8.819272
179,226979,Hymenopus_heteromorphus,Hymenopus,heteromorphus,Chrysobalanaceae,-1.35484,-1.36013,Paracou,BF,Generalist,2.199423423,12/11/2020,11,2,2979,0.402441448,1.496030307,6.286638014,8.185109769,1.11,44.77,0.13,0.423227226,0.119752909,0.03082453,1.853967549,0.081282077,2.596241638,0.670358748,1.802886028,4.702907157,9.653127452,3.012795806,0,4.83125312,29.0248264,6.929605592,122.643,265.1515152,0.829,"286,324.38","581,403.50",NA,NA,12.7388535,10.254378
181,130974,Hymenopus_heteromorphus,Hymenopus,heteromorphus,Chrysobalanaceae,-1.52748,-1.5259225,Paracou,BF,Generalist,3.026085808,12/11/2020,11,4,994,0.300311771,1.357139012,4.918284838,6.575735621,1.13,49.94,0.228,0.433337072,0.067533839,0.019234619,2.029292439,0.006108162,2.142099149,0.787545604,6.122774519,5.350056603,8.26500465,1.124211317,0,16.96544817,21.81859152,9.026039059,143.8854,221.1538462,0.842,"286,358.00","581,289.63",NA,NA,22.92993631,8.819272
182,131011,Pterocarpus_officinalis,Pterocarpus,officinalis,Fabaceae,-1.62108,-1.61581,Paracou,BF,BF,1.704577379,12/11/2020,11,4,1032,0.296633639,1.363860308,4.860127743,6.520621689,3.09,52.03,0.157,1.47287775,0.082608626,0.188073656,2.789064903,0.01246031,2.592497254,0.033748663,18.63064439,4.35863856,19.74299265,11.56901648,0,184.2236645,23.43071756,37.82825761,280.2897,375,0.809,"286,354.25","581,320.94",NA,NA,26.91082803,8.819272
183,127971,Conceveiba_guianensis,Conceveiba,guianensis,Euphorbiaceae,-1.64604,-1.63978,Paracou,TF,Generalist,1.616238522,12/11/2020,11,2,196,0.201976782,0.653511881,1.602708652,2.458197314,1.56,47.21,0.121,0.669087067,0.057532538,0.036490767,1.8977485,0.008729,6.202386,0.048614286,6.103590357,2.268859018,5.877607143,5.03967,0,13.62,66.79086364,10.305,116.6853,NA,0.803,"286,248.88","581,376.44",NA,NA,13.53503185,7.322223
