Code,idTree,Plot,SubPlot,FieldNbr,Genus,Species,spName,Family,PrefHabitat,Habitat,FW,SW,DW,LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,Position_Crown,Forest,CodeFTH,Measure,SLA,LT,CC,LDMC,RWC,Xutm,Yutm,DBH,TWI,Leaf area,Midrib VLA,2VLA,3VLA,MajVLA
20,148077,15,3,593,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,TF,1.58,1.602,0.742,1.16,-1.258,-1.67,11.693,0.788,42.174,1.64,22,3,16,4,Mid,Paracou,,,,,,,,,,,,46.38453611,0.245443202,0.931822164,2.011199059,3.188464425
21,149561,15,4,860,Iryanthera,hostmannii,Iryanthera_hostmannii,Myristicaceae,BF,BF,2.311,2.308,1.017,1.269,-1.275,-1.684,13.487,0.812,36.132,0.885,12,2,11,4,Sup,Paracou,,,,,,,,,,,,39.94218889,0.327277832,1.646388088,4.575133778,6.548799697
22,149441,15,4,740,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,2.248,2.27,0.831,1.733,-1.333,-1.73,7.237,0.771,89.345,1.043,20,3,20,3,Sup,Paracou,,,,,,,,,,,,99.92952778,0.169072235,0.913576719,1.54101655,2.623665504
23,149447,15,4,746,Eperua,falcata,Eperua_falcata,Fabaceae,BF,BF,0.69,0.699,0.291,1.4,-1.258,-1.67,13.487,0.771,33.694,1.397,26,4,20,4,Sup,Paracou,,,,,,,,,,,,36.81113889,0.296463113,1.813616574,3.949714193,6.05979388
24,149545,15,4,844,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Chrysobalanaceae,Generalist,BF,4.011,4.082,1.977,1.065,-0.94,-1.416,10.563,0.814,74.399,3.071,18,3,16,3,Mid,Paracou,,,,,,,,,,,,82.05984028,0.173446275,0.850442243,4.507337234,5.531225752
25,,,,,,,NA,,,,,,,,,,,,,,,,,,,Paracou,,,,,,,,,,,,,,,,
26,149683,15,4,984,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Chrysobalanaceae,Generalist,BF,0.363,0.368,0.179,1.052,-0.948,-1.422,,0.807,12.265,17.868,16,3,14,3,Sup,Paracou,,,,,,,,,,,,13.60032639,0.467680921,2.20199856,6.235570343,8.905249824
27,149727,15,4,1029,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,BF,0.522,0.525,0.27,0.948,-1.395,-1.78,,0.814,7.248,2.511,26,2,24,3,Sup,Paracou,,,,,,,,,,,,7.982997222,0.570594369,3.229405278,2.299445832,6.099445479
28,149733,15,4,1035,Eperua,falcata,Eperua_falcata,Fabaceae,BF,BF,0.63,0.658,0.313,1.102,-1.528,-1.885,,0.807,16.897,2.136,20,4,16,3,Mid,Paracou,,,,,,,,,,,,18.54248611,0.391677984,1.864562054,5.624530884,7.880770921
29,145356,15,1,45,Poraqueiba,guianensis,Poraqueiba_guianensis,Metteniusaceae,TF,TF,1.283,1.328,0.581,1.283,-1.658,-1.989,21.343,0.8,70.589,2.051,17,2,15,3,Mid,Paracou,,,,,,,,,,,,78.06562083,0.217285932,1.105850618,2.844089026,4.167225577
30,145769,15,1,460,Poraqueiba,guianensis,Poraqueiba_guianensis,Metteniusaceae,TF,TF,1.202,1.259,0.484,1.604,-1.61,-1.951,23.753,0.787,93.252,2.569,16,3,16,3,Mid,Paracou,,,,,,,,,,,,102.5973792,0.16756111,0.924405834,3.929561774,5.021528718
31,145376,15,1,65,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,1.08,1.085,0.38,1.854,-1.268,-1.678,10.273,0.818,80.371,5.069,16,3,14,3,Mid,Paracou,,,,,,,,,,,,87.99163333,0.192899626,1.085873901,2.797206425,4.075979952
32,148668,15,3,2684,Tachigali,melinonii,Tachigali_melinonii,Fabaceae,Generalist,TF,0.357,0.368,0.173,1.13,-1.18,-1.608,,0.731,19.1,1.895,26,3,24,3,Mid,Paracou,,,,,,,,,,,,21.28220556,0.443631711,1.626653764,3.810252603,5.880538078
33,148907,15,4,204,Gustavia,hexapetala,Gustavia_hexapetala,Lecythidaceae,TF,TF,1.186,1.237,0.38,2.253,-1.565,-1.915,,0.769,42.526,2.374,20,3,20,3,Sup,Paracou,,,,,,,,,,,,46.37481528,0.288801331,1.223083404,3.616187558,5.128072293
34,102705,6,2,2358,Protium,opacum subsp. rabelianum,Protium_opacum,Burseraceae,BF,BF,2.16,2.205,1.063,1.075,-1.735,-2.051,9.07,0.804,100.798,5.761,23,4,20,4,Sup,Paracou,,,,,,,,,,,,111.0627111,0.169165744,1.128698372,1.77826473,3.076128846
35,149111,15,4,408,Protium,opacum subsp. rabelianum,Protium_opacum,Burseraceae,BF,BF,1.668,1.675,0.762,1.198,-1.588,-1.933,,0.83,40.594,2.559,18,3,15,3,Mid,Paracou,,,,,,,,,,,,44.670475,0.266242894,1.473115723,2.682486615,4.421845232
36,149208,15,4,506,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,5.423,5.513,2.464,1.237,-1.36,-1.752,,0.806,194.482,2.346,17,4,16,3,Sup,Paracou,,,,,,,,,,,,192.6145207,0.146930862,0.69149557,1.07840667,1.916833103
37,227102,15,4,2809,Pterocarpus,officinalis,Pterocarpus_officinalis,Fabaceae,BF,BF,0.602,0.604,0.188,2.206,-1.128,-1.566,,0.789,29.789,1.749,16,3,15,4,Mid,Paracou,,,,,,,,,,,,33.2584125,0.281982164,1.342221577,2.552224568,4.17642831
38,148949,15,4,246,Pterocarpus,officinalis,Pterocarpus_officinalis,Fabaceae,BF,BF,1.57,1.584,0.608,1.606,-1.468,-1.838,2.97,0.791,75.667,3.022,17,4,14,4,Mid,Paracou,,,,,,,,,,,,83.63954861,0.170547219,0.870482339,2.53019825,3.571227808
