"","class","min","max","mean","ranges","sd","ITI","ITI_sd"
"1",1,1.68514520499287,1.82110598471636,1.75312559485462,2.55352895073186,0.864502517606116,0.917283632840178,0.810913656033175
"2",2,1.82110598471636,1.95706676443985,1.8890863745781,1.96343372987645,0.70100347460279,-1.49538131350217,-1.9014224424342
"3",3,1.95706676443985,2.09302754416333,2.02504715430159,1.77000656773811,0.709940523669748,-2.36369817207283,-2.06941486557861
"4",4,2.09302754416333,2.22898832388682,2.16100793402508,2.27809976704359,0.899303365541,-1.08925566213516,-0.512510651912499
"5",5,2.22898832388682,2.36494910361031,2.29696871374856,2.29269594950496,0.872939147676818,-0.743204864222964,-0.117554699523343
"6",6,2.36494910361031,2.77283144278077,2.56889027319554,2.87231976365372,0.966437010954438,0.637006544582353,0.482981513870076
