Code,spName,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA
657,Virola_surinamensis,0.2905194415,2.0413410855,7.899904031,10.231764555000002
658,Jacaranda_copaia subsp. copaia,0.3719497855,1.727143786,5.0028540345,7.1019476059999995
659,Virola_surinamensis,0.3362161005,2.3390351794999997,4.202140566,6.8773918465
660,Gustavia_hexapetala,0.2087367855,1.025092304,2.2559547005000002,3.4897837899999997
661,Casearia_javitensis,0.1864003505,0.7985613199999999,2.3295044625,3.314466133
662,Virola_surinamensis,0.393814584,2.385642372,7.0452718715,9.8247288265
663,Chrysophyllum_prieurii,0.1532269385,1.0920435605,3.8558180525,5.101088551
664,Laetia_procera,0.2415349095,1.6954326124999999,5.026129492000001,6.9630970145
665,Protium_stevensonii,0.4048894245,2.442340123,4.751638614,7.5988681615
666,Protium_stevensonii,0.3964066995,1.8279883445,3.4781953315000003,5.702590376
667,Conceveiba_guianensis,0.259528309,0.8819529804999999,2.5450317115,3.6865130015
668,Tachigali_melinonii,0.3955719065,1.775306101,8.4372169485,10.608094956999999
669,Chrysophyllum_prieurii,0.18161046349999999,1.134789727,3.372771167,4.6891713575
670,Protium_stevensonii,0.423190811,1.8555672475,5.0602394345,7.338997493000001
671,Jacaranda_copaia subsp. copaia,0.363666116,1.6739180435,7.4944764815,9.532060642000001
672,Protium_stevensonii,0.299534699,1.322103105,4.7154454825,6.3370832865
673,Casearia_javitensis,0.20636986000000002,1.067078796,3.3663296965000002,4.6397783525000005
674,Casearia_javitensis,0.21550379050000001,0.9119493000000001,2.871221314,3.9986744045
675,Virola_michelii,0.408452166,2.1838590819999997,5.263350021000001,7.8556612695000005
676,Chrysophyllum_prieurii,0.3210599925,1.7394382415,8.3253508205,10.385849053
677,Chrysophyllum_prieurii,0.20108566,1.0389687175,3.459907232,4.6999616095
678,Virola_michelii,0.3934778975,2.5518446069999996,5.860692087,8.8060145915
679,Conceveiba_guianensis,0.18772729900000001,0.7084148324999999,1.6761912259999998,2.5723333565
680,Protium_stevensonii,0.404469688,2.039125366,6.6655977505,9.109192805
681,Virola_surinamensis,0.34653107549999995,2.367705924,10.2671868325,12.98142383
682,Virola_surinamensis,0.38449504349999997,2.495192812,7.509291016000001,10.3889788745
683,Virola_michelii,0.295159092,1.739524877,6.906496787,8.9411807575
684,Virola_michelii,0.31145928300000003,1.99524113,4.0675989999999995,6.374299412499999
685,Protium_stevensonii,0.538413356,2.1465699665,7.2588805255,9.94386385
686,Virola_michelii,0.22351984549999998,1.5341073829999998,5.8366948905000005,7.594322119
687,Casearia_javitensis,0.186941526,0.8092030379999999,3.229484287,4.225628851
688,Protium_stevensonii,0.3676174915,1.7671876435,5.9731191804999995,8.107924315
689,Protium_stevensonii,0.3155651345,1.4210315075,3.328995697,5.065592339
690,Casearia_javitensis,0.21698309049999998,1.0633945005,2.0856382265,3.3660158175
691,Chrysophyllum_prieurii,0.146660591,1.1308720205,6.1859799505,7.4635125615
