Code,idTree,RWCnr_myData,spName_CorrBota,LSWC_E.per,RWC_E.per,My_LSWC_E.per_corr,My_RWC_E.per_corr,posm,ptlp,gmin.my.function,gmin_manual_Clement,Name_Project
209,137579,M209,Symphonia_globulifera,212.7,1.086.441,212.7,NA,-1.475,-1.844,1.312.886.988,2.996,Metradica
210,137314,M210,Chrysophyllum_prieurii,1.258.076,990.669,1.258.076,990.669,-1.973,-2.241,917.879.656,2.969,Metradica
211,137018,M211,Conceveiba_guianensis,1.509.047,995.546,1.509.047,995.546,-1.455,-1.828,2.346.952.809,3.036,Metradica
212,137209,M212,Hymenopus_heteromorphus,1.256.868,110,1.256.868,NA,-1.103,-1.546,1.109.824.244,12.383,Metradica
213,138956,M213,Eperua_falcata,1.437.267,1.002.593,1.437.267,100,-1.525,-1.883,32.032.335,4.346,Metradica
214,137431,M214,Hymenopus_heteromorphus,1.124.725,1.014.351,1.124.725,100,-1.07,-1.52,8.769.751.717,8.834,Metradica
215,137892,M215,Hymenopus_heteromorphus,1.221.803,1.034.369,1.221.803,NA,-1.083,-1.53,2.943.605.509,3.805,Metradica
216,137869,M216,Eschweilera_coriacea,1.442.936,991.361,1.442.936,991.361,-1.073,-1.522,1.109.086.205,1.561,Metradica
217,226808,M217,Tachigali_melinonii,1.345.142,1.042.137,1.345.142,100,-1.228,-1.646,NA,NA,Metradica
218,237384,M218,Casearia_javitensis,916.837,964.919,916.837,964.919,-1.445,-1.82,NA,NA,Metradica
219,143348,M219,Tachigali_melinonii,1.557.257,954.098,1.557.257,954.098,-1.735,-2.051,NA,NA,Metradica
220,180531,M220,Tachigali_melinonii,1.415.627,1.104.824,1.415.627,NA,-1.52,-1.879,NA,NA,Metradica
221,138754,M221,Pterocarpus_officinalis,1.466.811,943.556,1.466.811,943.556,-1.5,-1.864,2.419.446.515,3.56,Metradica
222,138533,M222,Eschweilera_coriacea,1.187.836,947.769,1.187.836,947.769,-1.61,-1.951,1.543.112.475,1.678,Metradica
223,138957,M223,Symphonia_globulifera,2.003.532,999.559,2.003.532,999.559,-1.275,-1.684,1.580.043,2.043,Metradica
224,138814,M224,Hymenopus_heteromorphus,114.257,956.503,114.257,956.503,-1,-1.464,8.363.207.138,9.493,Metradica
225,138941,M225,Eperua_falcata,1.115.078,989.151,1.115.078,989.151,-1.395,-1.78,2.276.298.619,5.381,Metradica
226,138828,M226,Pterocarpus_officinalis,1.749.472,950.026,1.749.472,950.026,-1.365,-1.756,1.702.030.625,3.658,Metradica
227,138668,M227,Pterocarpus_officinalis,159.107,954.655,159.107,954.655,-1.123,-1.562,1.568.305.034,2.802,Metradica
228,138663,M228,Symphonia_globulifera,1.874.502,970.773,1.874.502,970.773,-1.478,-1.846,193.124.738,2.263,Metradica
229,138769,M229,Pterocarpus_officinalis,1.828.868,953.686,1.828.868,953.686,-1.043,-1.498,920.937.164,1.38,Metradica
230,141512,M230,Tachigali_melinonii,1.110.923,1.605.945,1.110.923,NA,-1.538,-1.893,NA,NA,Metradica
231,141752,M231,Chrysophyllum_prieurii,1.588.156,970.998,1.588.156,970.998,-1.633,-1.969,NA,NA,Metradica
232,137980,M232,Symphonia_globulifera,2.090.636,1.073.413,2.090.636,NA,-1.198,-1.622,1.452.169.363,1.564,Metradica
233,138018,M233,Laetia_procera,158.934,978.516,158.934,978.516,-1.38,-1.768,3.494.913.601,2.529,Metradica
234,137163,M234,Conceveiba_guianensis,1.320.694,991.753,1.320.694,991.753,-1.565,-1.915,2.320.830.726,3.724,Metradica
235,137064,M235,Virola_michelii,1.209.194,938.863,1.209.194,938.863,-2.035,-2.291,1.384.080.499,13.774,Metradica
236,137855,M236,Jacaranda_copaia subsp. copaia,2.084.942,1.002.222,2.084.942,100,-0.86,-1.352,3.392.199.814,8.073,Metradica
237,137648,M237,Chrysophyllum_prieurii,1.323.398,95.202,1.323.398,95.202,-2.12,-2.359,810.714.757,3.099,Metradica
238,137705,M238,Hymenopus_heteromorphus,1.147.503,956.984,1.147.503,956.984,-1.415,-1.796,3.675.797.195,4.669,Metradica
238,137705,M238,Hymenopus_heteromorphus,1.147.503,956.984,1.147.503,956.984,-1.415,-1.796,4.420.266.989,4.669,Metradica
239,205863,M239,Hymenopus_heteromorphus,113.361,977.444,113.361,977.444,-1.145,-1.58,1.364.300.213,2.182,Metradica
240,141162,M240,Eperua_falcata,117.649,967.774,117.649,967.774,-1.135,-1.572,NA,NA,Metradica
241,146077,M241,Jacaranda_copaia subsp. copaia,1.674.322,983.042,1.674.322,983.042,-933,-1.41,5.895.306.092,8.45,Metradica
242,146708,M242,Bocoa_prouacensis,1.102.041,993.875,1.102.041,993.875,-1.468,-1.838,254.670.275,2.586,Metradica
243,146701,M243,Conceveiba_guianensis,1.236.576,957.019,1.236.576,957.019,-1.443,-1.818,2.246.384.532,2.177,Metradica
244,145292,M244,Tachigali_melinonii,1.191.254,986.732,1.191.254,986.732,-1.455,-1.828,NA,NA,Metradica
