Code,idTree,RWCnr_myData,spName_CorrBota,LSWC_E.per,RWC_E.per,My_LSWC_E.per_corr,My_RWC_E.per_corr,posm,ptlp,gmin.my.function,gmin_manual_Clement,Name_Project
48,145949,M48,Jacaranda_copaia subsp. copaia,1.861.683,964.694,1.861.683,964.694,-855,-1.348,5.044.137.749,4.852,Metradica
49,145666,M49,Carapa_surinamensis,1.270.937,93.773,1.270.937,93.773,-1.39,-1.776,2.728.732.978,2.814,Metradica
50,147391,M50,Gustavia_hexapetala,1.612.775,954.899,1.612.775,954.899,-1.835,-2.131,943.789.089,1.029,Metradica
51,147235,M51,Dicorynia_guianensis,1.564.003,955.109,1.564.003,955.109,-1.175,-1.604,7.731.146.895,7.764,Metradica
52,226846,M52,Hymenopus_heteromorphus,1.128.116,955.804,1.128.116,955.804,-1.06,-1.512,2.710.300.377,2.77,Metradica
53,149005,M53,Bocoa_prouacensis,1.016.641,971.082,1.016.641,971.082,-1.433,-1.81,6.510.231.226,6.547,Metradica
54,249664,M54,Protium_opacum subsp. rabelianum,1.253.005,997.487,1.253.005,997.487,-1.715,-2.035,4.126.110.703,4.045,Metradica
55,101083,M55,Jacaranda_copaia subsp. copaia,1.947.613,988.083,1.947.613,988.083,NA,NA,1.046.778.363,108.886.066,Metradica
56,100766,M56,Chrysophyllum_prieurii,1.116.904,964.954,1.116.904,964.954,-1.725,-2.043,2.229.684.217,2.229,Metradica
57,100765,M57,Conceveiba_guianensis,118.866,985.616,118.866,985.616,-1.285,-1.692,2.319.991.494,2.443,Metradica
60,205758,M60,Conceveiba_guianensis,1.337.944,964.849,1.337.944,964.849,-1.565,-1.915,150.340.366,1.634,Metradica
61,102799,M61,Jacaranda_copaia subsp. copaia,2.650.262,940.084,2.650.262,940.084,-923,-1.402,258.575.674,2.664,Metradica
62,102878,M62,Chrysophyllum_prieurii,1.006.535,923.343,1.006.535,923.343,-2.12,-2.359,3.741.189.312,3.756,Metradica
63,103035,M63,Bocoa_prouacensis,1.140.677,1.046.901,1.140.677,NA,-1.285,-1.692,2.982.671.775,3.074,Metradica
64,205745,M64,Symphonia_globulifera,2.275.479,985.177,2.275.479,985.177,-1.038,-1.494,2.736.376.414,2.801,Metradica
65,179841,M65,Tachigali_melinonii,1.126.976,977.828,1.126.976,977.828,-1.39,-1.776,2.653.373.032,2.695,Metradica
66,101665,M66,Protium_stevensonii,946.763,917.252,946.763,917.252,-1.868,-2.157,951.835.527,19.083,Metradica
67,101138,M67,Eschweilera_coriacea,1.108.003,966.044,1.108.003,966.044,-1.113,-1.554,1.124.256.948,1.25,Metradica
68,101016,M68,Bocoa_prouacensis,2.502.282,98.99,2.502.282,98.99,-1.45,-1.824,842.268.889,859,Metradica
69,101485,M69,Tachigali_melinonii,1.148.148,967.742,1.148.148,967.742,-1.808,-2.109,2.573.464.264,2.621,Metradica
70,103472,M70,Conceveiba_guianensis,1.449.569,961.095,1.449.569,961.095,-1.113,-1.554,3.767.417.253,3.715,Metradica
71,103306,M71,Jacaranda_copaia subsp. copaia,1.804.387,965.517,1.804.387,965.517,NA,NA,3.035.993.175,3.624.839.998,Metradica
72,104032,M72,Conceveiba_guianensis,1.501.162,1.077.603,1.501.162,NA,-1.28,-1.688,1.617.796.423,1.632,Metradica
73,104806,M73,Carapa_surinamensis,1.396.102,1.043.116,1.396.102,NA,-1.338,-1.734,3.072.196.356,3.171,Metradica
74,102971,M74,Licania_membranacea,1.577.732,922.306,1.577.732,922.306,-1.595,-1.939,3.691.378.961,3.702,Metradica
75,103117,M75,Bocoa_prouacensis,1.147.411,987.065,1.147.411,987.065,-1.253,-1.666,2.330.036.974,2.339,Metradica
76,103259,M76,Eschweilera_coriacea,1.034.916,949.393,1.034.916,949.393,-1.423,-1.802,1.352.953.568,1.357,Metradica
77,103275,M77,Laetia_procera,1.580.238,979.717,1.580.238,979.717,-1.523,-1.881,1.594.796.367,1.594,Metradica
78,103288,M78,Carapa_surinamensis,1.339.223,972.249,1.339.223,972.249,-1.35,-1.744,2.012.127.394,1.959,Metradica
79,103499,M79,Jacaranda_copaia subsp. copaia,2.596.947,994.121,2.596.947,994.121,-858,-1.35,2.909.410.407,3.193,Metradica
80,104037,M80,Eschweilera_coriacea,962.852,975.805,962.852,975.805,-1.278,-1.686,1.101.264.438,1.374,Metradica
81,104123,M81,Eschweilera_coriacea,1.144.437,1.018.711,1.144.437,100,-1.248,-1.662,959.168.947,1.247,Metradica
82,104116,M82,Conceveiba_guianensis,1.423.601,1.045.696,1.423.601,NA,-1.565,-1.915,1.915.484.156,2.071,Metradica
83,104783,M83,Eschweilera_coriacea,1.721.163,1.009.362,1.721.163,100,-988,-1.454,2.459.943.113,2.982,Metradica
84,236720,M84,Conceveiba_guianensis,135.865,1.004.771,135.865,100,-1.445,-1.82,1.469.282.373,1.448,Metradica
85,104225,M85,Eperua_falcata,1.341.307,993.986,1.341.307,993.986,-1.29,-1.696,1.338.111.356,1.365,Metradica
86,104374,M86,Chrysophyllum_prieurii,NA,NA,NA,NA,-1.555,-1.907,4.452.869.062,6.294,Metradica
87,104726,M87,Protium_stevensonii,NA,NA,NA,NA,-1.77,-2.079,7.082.296.738,14.727,Metradica
88,203357,M88,Virola_michelii,155.03,987.323,155.03,987.323,-1.325,-1.724,2.365.002.129,2.613,Metradica
89,178762,M89,Eschweilera_coriacea,1.815.963,98.498,1.815.963,98.498,-1.158,-1.59,1.029.791.264,1.097,Metradica
90,104801,M90,Conceveiba_guianensis,1.575.914,953.117,1.575.914,953.117,-1.198,-1.622,1.432.543.658,1.657,Metradica
91,104363,M91,Conceveiba_guianensis,1.341.405,1.022.644,1.341.405,NA,-1.385,-1.772,2.613.269.765,2.635,Metradica
92,104378,M92,Chrysophyllum_prieurii,1.111.265,96.96,1.111.265,96.96,-2.225,-2.443,1.037.261.091,733,Metradica
93,104500,M93,Chrysophyllum_prieurii,1.159.338,1.000.813,1.159.338,100,-2.065,-2.315,1.483.035.613,1.523,Metradica
94,104355,M94,Licania_membranacea,1.450.477,909.206,1.450.477,909.206,-1.55,-1.903,4.329.103.081,2.747,Metradica
95,104215,M95,Tachigali_melinonii,1.137.717,990.912,1.137.717,990.912,-1.413,-1.794,3.050.977.756,3.074,Metradica
96,104562,M96,Iryanthera_sagotiana,1.582.896,976.399,1.582.896,976.399,-1.158,-1.59,NA,NA,Metradica
97,104319,M97,Laetia_procera,1.542.619,962.044,1.542.619,962.044,-1.645,-1.979,1.991.142.471,2.296,Metradica
98,145049,M98,Iryanthera_sagotiana,152.264,995.342,152.264,995.342,-1.17,-1.6,749.820.809,767,Metradica
99,145228,M99,Vouacapoua_americana,935.798,998.337,935.798,998.337,-1.798,-2.101,159.270.662,1.706,Metradica
100,145138,M100,Eschweilera_coriacea,1.709.274,970.108,1.709.274,970.108,-1.138,-1.574,1.023.258.195,1.154,Metradica
101,145139,M101,Poraqueiba_guianensis,1.373.893,985.519,1.373.893,985.519,-1.668,-1.997,191.903.675,2.831,Metradica
102,145294,M102,Hymenopus_heteromorphus,1.319.701,984.172,1.319.701,984.172,-1.06,-1.512,4.632.550.662,4.963,Metradica
103,145148,M103,Eschweilera_coriacea,1.394.844,986.468,1.394.844,986.468,-1.168,-1.598,186.930.189,2.129,Metradica
104,143133,M104,Casearia_javitensis,NA,NA,NA,NA,NA,NA,5.893.944.096,6.719.769.506,Metradica
105,144423,M105,Casearia_javitensis,902.105,1.045.568,902.105,NA,-1.29,-1.696,3.260.318.085,3.802,Metradica
106,144254,M106,Dicorynia_guianensis,160.057,1.192.595,160.057,NA,NA,NA,7.952.863.387,8.777,Metradica
107,142693,M107,Poraqueiba_guianensis,1.295.871,1.004.238,1.295.871,100,-1.47,-1.84,3.296.118.522,3.338,Metradica
108,144866,M108,Vouacapoua_americana,773.905,1.032.284,773.905,100,-1.798,-2.101,8.475.886.983,9.37,Metradica
109,145008,M109,Vouacapoua_americana,830.418,1.032.343,830.418,100,-1.823,-2.121,2.358.480.496,2.415,Metradica
110,174162,M110,Protium_stevensonii,1.063.503,973.548,1.063.503,973.548,-1.878,-2.165,8.009.898.433,8.033,Metradica
111,144753,M111,Eschweilera_coriacea,1.258.875,106.485,1.258.875,NA,-1.08,-1.528,2.133.143.745,2.519,Metradica
112,144939,M112,Vouacapoua_americana,960.206,1.015.115,960.206,100,-1.603,-1.945,1.681.054.596,1.775,Metradica
113,144945,M113,Gustavia_hexapetala,243.707,1.003.321,243.707,100,-1.388,-1.774,5.978.878.009,3.853,Metradica
114,144726,M114,Licania_membranacea,112.259,989.202,112.259,989.202,-1.853,-2.145,5.823.952.539,5.889,Metradica
115,205904,M115,Tachigali_melinonii,1.216.216,1.236.842,1.216.216,NA,-1.385,-1.772,3.384.935.866,1.9,Metradica
116,138317,M116,Iryanthera_hostmannii,1.128.575,989.962,1.128.575,989.962,-1.36,-1.752,1.117.898.498,0.92,Metradica
117,142689,M117,Eschweilera_coriacea,132.753,958.628,132.753,958.628,-968,-1.438,3.347.349.007,3.588,Metradica
118,142325,M118,Eschweilera_coriacea,1.302.179,990.269,1.302.179,990.269,-1.155,-1.588,1.449.427.417,1.871,Metradica
119,142517,M119,Carapa_surinamensis,1.702.855,965.888,1.702.855,965.888,-1.293,-1.698,2.291.144.415,2.85,Metradica
120,142667,M120,Iryanthera_hostmannii,1.597.093,951.688,1.597.093,951.688,-1.12,-1.56,836.773.717,962,Metradica
121,142472,M121,Iryanthera_sagotiana,1.468.162,1.010.663,1.468.162,100,-1.023,-1.482,1.921.296.989,2.335,Metradica
122,143155,M122,Eschweilera_coriacea,1.820.009,991.896,1.820.009,991.896,-1.32,-1.72,2.019.584.866,2.238,Metradica
123,142984,M123,Iryanthera_hostmannii,1.170.113,967.985,1.170.113,967.985,-1.195,-1.62,1.588.490.072,2.328,Metradica
124,142990,M124,Eschweilera_coriacea,1.008.255,971.062,1.008.255,971.062,-1.213,-1.634,1.720.759.929,1.886,Metradica
125,143065,M125,Eperua_falcata,1.019.334,978.135,1.019.334,978.135,-1.468,-1.838,1.155.111.487,1.17,Metradica
126,142950,M126,Vouacapoua_americana,898.344,1.029.806,898.344,NA,-2.04,-2.295,2.791.248.334,2.716,Metradica
127,142685,M127,Eschweilera_coriacea,155.072,995.074,155.072,995.074,-1.13,-1.568,96.360.532,983,Metradica
128,142527,M128,Protium_opacum subsp. rabelianum,1.465.903,1.017.005,1.465.903,100,-1.765,-2.075,3.720.267.484,3.794,Metradica
129,142291,M129,Virola_michelii,1.309.695,982.014,1.309.695,982.014,-1.36,-1.752,5.682.965.488,9.084,Metradica
130,142646,M130,Casearia_javitensis,-5.154,-19210,NA,NA,-1.835,-2.131,3.857.592.668,4.207,Metradica
131,142662,M131,Laetia_procera,1.407.158,983.752,1.407.158,983.752,-1.625,-1.963,170.365.508,2.328,Metradica
132,143007,M132,Eperua_falcata,1.159.727,988.239,1.159.727,988.239,-1.323,-1.722,2.421.850.966,1.322,Metradica
133,143035,M133,Virola_surinamensis,183.484,919.327,183.484,919.327,-1.32,-1.72,6.396.394.842,3.691,Metradica
134,141912,M134,Bocoa_prouacensis,123.477,467.742,123.477,467.742,-1.46,-1.832,2.188.131.133,2.291,Metradica
135,143058,M135,Jacaranda_copaia subsp. copaia,991.276,935.094,991.276,935.094,NA,NA,102.697.459,1.152.409.566,Metradica
136,141725,M136,Symphonia_globulifera,1.701.932,102.725,1.701.932,100,-1.243,-1.658,2.695.735.693,2.835,Metradica
137,143297,M137,Bocoa_prouacensis,1.915.473,1.053.478,1.915.473,NA,-1,-1.464,1.045.479.396,1.309,Metradica
138,141168,M138,Laetia_procera,1.443.762,979.694,1.443.762,979.694,-1.353,-1.746,2.714.597.068,4.614,Metradica
139,141172,M139,Symphonia_globulifera,1.672.614,1.005.388,1.672.614,100,-1.343,-1.738,3.836.163.929,4.341,Metradica
140,126739,M140,Poraqueiba_guianensis,1.212.291,940.915,1.212.291,940.915,-1.593,-1.937,4.244.938.694,2.247,Metradica
141,141732,M141,Tachigali_melinonii,1.333.333,971.204,1.333.333,971.204,-1.493,-1.858,3.442.462.335,3.782,Metradica
142,141516,M142,Chrysophyllum_prieurii,1.328.992,987.727,1.328.992,987.727,-793,-1.298,3.614.326.016,7.275,Metradica
143,143313,M143,Protium_opacum subsp. rabelianum,133.662,987.355,133.662,987.355,-1.575,-1.923,5.740.246.987,4.737,Metradica
144,143306,M144,Carapa_surinamensis,1.665.712,972.406,1.665.712,972.406,-1.375,-1.764,1.425.914.805,1.709,Metradica
145,141465,M145,Protium_stevensonii,1.056.165,1.024.927,1.056.165,100,-1.785,-2.091,2.357.035.673,2.585,Metradica
146,142036,M146,Licania_membranacea,1.097.865,966.572,1.097.865,966.572,-1.523,-1.881,4.982.945.772,5.136,Metradica
