Code,idTree,Genus,Species,gmin,TLP,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,N,C,P,Ca,Na,K,FW,SW,DW,LSWC,SD,FVFM,DateField,Forest,Plot,SubPlot,FieldNbr,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition
1,145493,Iryanthera,hostmannii,1.12970896112281,-1.56787,0.311733524,1.7320258115,3.895902389,5.9396617245,1.43,53.62,0.887238664829659,3.58686327199854,0.0486382765531062,11.196360104825,1.2679999999999998,1.2632,0.5006,1.5233719536556132,227.5641026,0.786,26/10/2020,Paracou,15,1,182,BF,BF,12,4,10,4,Sup
2,147663,Gustavia,hexapetala,0.820423092997013,-1.9114400000000002,0.29420474799999996,1.1287494745,3.261022014,4.6839762364999995,2.3,49.74,0.708380949398798,6.68180315175806,1.37774649298597,7.40377493448436,1.2930000000000001,1.3196,0.4643,1.842127934525092,192.3076923,0.797,26/10/2020,Paracou,15,3,178,TF,TF,11,2,9,2,Sup
3,147783,Iryanthera,hostmannii,0.933823458987189,-1.4859725000000001,0.302325974,1.4398700034999998,4.6395366135,6.3817325905,1.54,53.56,0.934496939030485,3.06090909090909,0.0560629685157421,11.3932707492408,0.8774999999999995,0.874,0.3492,1.5028636884306985,198.7179487,0.807,26/10/2020,Paracou,15,3,298,BF,BF,12,2,13,3,Sup
4,147625,Tachigali,melinonii,2.89926807645227,-1.87149,0.5465697764999999,2.538922392,4.256712641,7.34220481,2.36,52.29,0.672119947604791,2.58202549446561,0.426587824351297,6.53589559342853,0.258,0.2559,0.1208,1.1183774834437086,294.8717949,0.84,26/10/2020,Paracou,15,3,140,TF,Generalist,33,5,23,4,Mid
5,148586,Chrysophyllum,prieurii,1.67448445467279,-2.5845975,0.33342907499999996,1.076097558,5.692870441,7.102397073500001,1.68,53.59,0.606448067331671,3.74732124234867,0.779043391521197,8.18849614425475,1.0868000000000002,1.1231,0.5347,1.1004301477464,NA,0.773,26/10/2020,Paracou,15,3,1103,TF,Generalist,24,4,21,4,Sup
6,149072,Conceveiba,guianensis,6.0751147961031,-1.7256725000000002,0.21895994800000002,0.836178098,2.2352241165,3.290362163,1.38,49.44,0.513491169839679,9.45234423392239,0.268728456913828,2.48894527516572,2.1957999999999993,2.2109,1.0103,1.1883598931010593,278.8461538,0.8,26/10/2020,Paracou,15,4,369,TF,Generalist,15,2,14,3,Sup
7,146131,Licania,membranacea,3.26507632748425,-1.947395,0.2094532025,1.0842903795,1.3812403115,2.6749838935000003,1.41,49.06,0.3907891875,8.84843954545455,1.354991,5.41896738461538,1.1904000000000003,1.2108,0.5401,1.241807072764303,NA,0.82,26/10/2020,Paracou,15,1,824,TF,TF,20,4,15,2,Inf
9,146342,Hymenopus,heteromorphus,7.48926981903208,-1.5978325,0.2951786165,1.1650841564999999,3.146078157,4.60634093,1.32,51.9,0.39209709040959,2.28840114431024,1.54944155844156,3.99522216245293,0.6881999999999993,0.6994,0.286,1.4454545454545458,144.2307692,0.784,26/10/2020,Paracou,15,2,84,TF,Generalist,20,4,18,3,Inf
10,146466,Conceveiba,guianensis,8.59268520762157,-1.8754850000000003,0.24928567000000001,0.85303324,2.6728600145,3.775178924,1.8,48.32,0.94707004740519,5.72698557430593,0.0574261477045908,7.02990756947643,2.2606,2.2967,1.0813,1.124017386479238,151.5151515,0.812,26/10/2020,Paracou,15,2,209,TF,Generalist,18,3,16,3,Sup
11,146404,Hymenopus,heteromorphus,3.5658452310616,-1.5099425000000002,0.4709202535,2.2044516955,5.382497452,8.057869401000001,1.38,50.76,0.43149843828086,2.78104902094407,1.69764217891054,2.2938204743782,0.3067000000000002,0.3108,0.1429,1.1749475157452767,227.5641026,0.79,26/10/2020,Paracou,15,2,147,TF,Generalist,22,2,18,3,Inf
12,148074,Jacaranda,copaia subsp. copaia,3.14565441798853,NA,0.3548206135,1.4524235115,3.8340464279999997,5.641290553,2.07,53.18,0.658318391521197,4.23659805032872,0.972060847880299,3.41941883752158,0.37289999999999957,0.3782,0.1403,1.6956521739130432,266.025641,0.794,26/10/2020,Paracou,15,3,590,TF,Generalist,28,5,26,5,Sup
