Code,spName,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA
17,Boc.pro,0.383592788,1.5065442725,1.437168862,3.3273059225
20,Boc.pro,0.2454432025,0.931822164,2.011199059,3.1884644245000002
27,Boc.pro,0.5705943685,3.2294052779999998,2.299445832,6.099445479
40,Boc.pro,0.508829663,1.81999025,3.042857857,5.3716777705
53,Boc.pro,0.27351189200000003,1.387298814,1.2775880375000002,2.9383987434999996
63,Boc.pro,0.2063630925,0.812842732,1.059612334,2.0788181595
68,Boc.pro,0.2403429645,1.2246306665,1.5828993295,3.0478729605000003
75,Boc.pro,0.172988807,0.9352091135,0.9443616444999999,2.0525595655
134,Boc.pro,0.17120866699999998,1.088512412,0.8902674015,2.1499884810000003
137,Boc.pro,0.27884477399999996,1.7775934755,1.030532021,3.086970271
150,Boc.pro,0.18548510550000002,0.8950370825,2.1098659795000003,3.190388168
155,Boc.pro,0.1745803695,0.6184135505,2.171483282,2.9644772015000003
164,Boc.pro,0.2872121015,1.195661976,2.4810541845,3.9639282624999996
199,Boc.pro,0.2127911415,0.8203742650000001,1.7574048285,2.790570235
242,Boc.pro,0.2281031395,1.071579679,1.7459879114999999,3.0456707300000003
22,Car.sur,0.16907223500000002,0.913576719,1.5410165505000002,2.623665504
36,Car.sur,0.1469308625,0.6914955705,1.0784066695,1.916833103
43,Car.sur,0.14284411200000002,0.629806868,0.990105521,1.762756501
49,Car.sur,0.142833042,0.605801957,0.85282141,1.6014564085
73,Car.sur,0.18265829449999998,0.7963289945,1.7562104134999998,2.735197702
78,Car.sur,0.14592683950000002,0.6605141864999999,0.689533398,1.495974424
119,Car.sur,0.130115578,0.573400012,1.08083358,1.7843491705
144,Car.sur,0.1754985385,0.8970454615,1.8833859355,2.9559299350000003
206,Car.sur,0.1755967595,0.841859534,1.599826157,2.6172824505
208,Car.sur,0.1378552035,0.678896108,1.1540573105,1.9708086219999998
15,Cas.jav,0.19577186749999997,0.7998282645,2.2853219175,3.2809220505
105,Cas.jav,0.2854519005,0.8973133945,2.5243250375,3.7070903325
130,Cas.jav,0.1796662335,0.7219084315,1.9519520815,2.853526747
152,Cas.jav,0.23884244100000002,0.8053141855,2.2732423195,3.317398946
218,Cas.jav,0.22197727550000002,0.7599395955,2.1299213115,3.1118381825
5,Chr.pri,0.33342907499999996,1.076097558,5.692870441,7.102397073500001
18,Chr.pri,0.327076567,1.2998702545,7.532606517,9.159553339
56,Chr.pri,0.1387089875,0.6841663915,4.367297769,5.1901731475
62,Chr.pri,0.1861876955,1.036178233,5.6405202469999995,6.862886175
86,Chr.pri,0.12384052200000001,0.6171564155,2.4678645364999996,3.208861474
92,Chr.pri,0.16125079850000001,0.8314139085,4.80576492,5.7984296275
93,Chr.pri,0.1290669195,0.7169981535000001,4.442866502,5.2889315745
142,Chr.pri,0.2279974265,0.7801871819999999,2.2720504110000004,3.2802350195
161,Chr.pri,0.1303132395,0.6430487924999999,2.946946365,3.720308397
210,Chr.pri,0.15219041100000003,0.81616212,4.662530734500001,5.6308832655
231,Chr.pri,0.168647465,1.0326977325,4.7044028785,5.9057480765
237,Chr.pri,0.17159433149999997,0.7978135865,5.7252876245,6.6946955425
6,Con.gui,0.21895994800000002,0.836178098,2.2352241165,3.290362163
10,Con.gui,0.24928567000000001,0.85303324,2.6728600145,3.775178924
45,Con.gui,0.259096823,0.962375475,2.118800457,3.3402727545
57,Con.gui,0.15822338600000002,0.601873459,2.5453275179999997,3.305424363
60,Con.gui,0.1386339335,0.514938015,1.670397421,2.3239693690000003
70,Con.gui,0.1641124835,0.5933295255,3.0567108375,3.8141528465
72,Con.gui,0.146079027,0.5805389519999999,2.2107011355,2.937319115
82,Con.gui,0.202156371,0.6938070375000001,2.0423467265,2.938310135
84,Con.gui,0.1353499755,0.45578007649999996,2.062308339,2.653438391
90,Con.gui,0.175002054,0.5437003469999999,2.475299496,3.1940018965
91,Con.gui,0.12542028049999998,0.5077724895,1.6240055955,2.2571983655
172,Con.gui,0.17525868849999998,0.5127737784999999,1.946413662,2.6344461295
176,Con.gui,0.1203167755,0.5295042825,1.8863990225,2.5362200809999997
183,Con.gui,0.20197678149999998,0.6535118805,1.6027086515,2.458197314
195,Con.gui,0.12417473500000001,0.49384113900000004,1.613625163,2.231641037
211,Con.gui,0.1402821725,0.5764127205,1.674508908,2.3912038005
234,Con.gui,0.0736831515,0.39199971,1.7493411795,2.2150240405
243,Con.gui,0.1673840075,0.544046967,1.9693715095000002,2.680802484
13,Dic.gui,0.2399887745,1.500403236,2.53387524,4.2742672505
14,Dic.gui,0.311391576,1.660683584,2.418404907,4.390480067
51,Dic.gui,0.24956667700000001,1.1985151535,3.015691404,4.4637732345
106,Dic.gui,0.1613552355,1.0109027805,2.195857575,3.368115591
153,Dic.gui,0.2122405155,1.446032969,3.2714835310000003,4.9297570155
175,Dic.gui,0.1813278815,1.099401115,3.948591995,5.2293209915
23,Epe.fal,0.296463113,1.8136165745000001,3.9497141925,6.05979388
