CodeFTH,Code,DateField,Forest,Plot,SubPlot,idTree,FieldNbr,Habitat,Type,Genus,Species,Name,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,gmin,tlp,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,N,C,P,Ca,Na,K,LSWC,SD,fvfm
38,672,13/09/2021,Paracou,16,1,150153,215,TF,Generalists,Protium,stevensonii,Protium stevensonii,17,3,15,3,Inf,8.34442590828016,-2.474735,0.299534699,1.322103105,4.7154454825,6.3370832865,1.24,42.98,0.451720551562271,2.53052878517991,0.749058291770574,7.74428015255978,0.5409994211846421,317.3076923,0.837
41,673,13/09/2021,Paracou,16,6,153081,286,TF,TF,Casearia,javitensis,Casearia javitensis,10,3,9,4,Inf,2.34127916801582,-1.8814775000000001,0.20636986000000002,1.067078796,3.3663296965000002,4.6397783525000005,1.66,54.2,0.426886409736308,5.92089465981295,0.112324775112444,2.43742214187024,0.5143506493506493,166.6666667,0.911
43,674,13/09/2021,Paracou,16,6,153135,340,TF,TF,Casearia,javitensis,Casearia javitensis,8,2,5,3,Inf,3.89786677079527,NA,0.21550379050000001,0.9119493000000001,2.871221314,3.9986744045,1.6,50.7,0.453872916482935,6.39565727850361,0.166697588705647,2.81423373607314,0.5135523613963039,240.3846154,0.923
44,675,13/09/2021,Paracou,16,6,153255,460,BF,Generalists,Virola,michelii,Virola michelii,20,3,17,2,Inf,2.50988076130936,-1.843525,0.408452166,2.1838590819999997,5.263350021000001,7.8556612695000005,2.3,51.95,0.58938924218336,6.76562072787073,1.49342436186186,3.77566651946064,0.5900519031141869,NA,0.921
47,676,13/09/2021,Paracou,16,6,153190,395,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,30,5,26,3,Inf,2.23687087999926,-2.2430250000000003,0.3210599925,1.7394382415,8.3253508205,10.385849053,2.28,51.93,0.774799852941177,8.89885510714286,0.2129809375,7.85364085294118,0.592282958199357,205.1282051,0.915
49,677,13/09/2021,Paracou,16,3,151265,103,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,30,4,30,4,Sup,1.94082884380204,-2.4367825000000005,0.20108566,1.0389687175,3.459907232,4.6999616095,2.49,51.66,0.85501732695075,6.52906151487055,0.209566587618572,6.69859296349593,0.564179104477612,298.0769231,0.8130000000000001
58,678,13/09/2021,Paracou,16,5,205242,"2,730",BF,Generalists,Virola,michelii,Virola michelii,13,2,12,3,Mid,4.20822978297954,-2.0592550000000003,0.3934778975,2.5518446069999996,5.860692087,8.8060145915,2.27,52.83,0.840640493434611,6.18003514228514,0.263544481981982,8.82746832126244,0.6180154142581888,NA,0.987
60,679,13/09/2021,Paracou,16,22,162848,396,TF,Generalists,Conceveiba,guianensis,Conceveiba guianensis,15,2,15,3,Sup,1.71473306227374,-2.2150600000000003,0.18772729900000001,0.7084148324999999,1.6761912259999998,2.5723333565,2.19,47.12,0.814892406737808,13.2772164988934,0.0790414167916042,4.48140015286474,0.5779531324725012,211.5384615,0.836
63,680,13/09/2021,Paracou,16,21,161595,122,BF,Generalists,Protium,stevensonii,Protium stevensonii,17,4,15,3,Mid,10.7459837387686,-2.5206775000000006,0.404469688,2.039125366,6.6655977505,9.109192805,1.1,44.11,0.579850227372745,2.4088330245814,0.0791829800498753,8.18318289570192,0.499602985548674,602.5641026,0.8180000000000001
65,681,13/09/2021,Paracou,16,21,161834,364,BF,BF,Virola,surinamensis,Virola surinamensis,17,4,15,3,Mid,3.09646368503302,-1.82355,0.34653107549999995,2.367705924,10.2671868325,12.98142383,1.78,52.75,0.944327689096628,8.08981020204184,0.0284467141429285,8.48939615486374,0.6357112405854767,NA,0.767
67,682,13/09/2021,Paracou,16,21,162095,625,BF,BF,Virola,surinamensis,Virola surinamensis,17,4,15,3,Mid,3.0553312841752,-1.7895925000000001,0.38449504349999997,2.495192812,7.509291016000001,10.3889788745,2.11,52.78,0.959699100692909,8.52015549588256,0.0448630952380952,11.5274595016954,0.6611645653616457,NA,0.869
69,683,13/09/2021,Paracou,16,18,159754,77,BF,Generalists,Virola,michelii,Virola michelii,17,4,14,3,Inf,2.65022057054858,-1.9573825,0.295159092,1.739524877,6.906496787,8.9411807575,2.84,51.99,0.692338360481899,8.74196805923171,1.50518872058087,4.82487817019647,0.642557345046364,185.8974359,0.902
70,684,13/09/2021,Paracou,16,25,164281,50,BF,Generalists,Virola,michelii,Virola michelii,20,3,15,3,Inf,8.82654361385376,-1.7536375000000002,0.31145928300000003,1.99524113,4.0675989999999995,6.374299412499999,2,52.95,0.485849852941176,10.0388551071429,0.7539309375,3.84939085294118,0.6003237555645488,NA,0.875
75,685,13/09/2021,Paracou,16,19,160658,438,TF,Generalists,Protium,stevensonii,Protium stevensonii,30,5,28,5,Mid,5.60182985648292,-2.4967075000000003,0.538413356,2.1465699665,7.2588805255,9.94386385,1.21,48.2,0.584151739281174,1.87407348676209,0.0862880648330059,9.40228009553527,0.5301606186793576,407.0512821,0.881
77,686,13/09/2021,Paracou,16,10,155518,444,BF,Generalists,Virola,michelii,Virola michelii,22,4,16,4,Mid,4.69621739488059,-1.7396550000000002,0.22351984549999998,1.5341073829999998,5.8366948905000005,7.594322119,2.16,53.74,0.957342510430746,2.60899611103183,0.481349587912088,7.50113971322795,0.5536157466837827,326.9230769,0.85
89,687,13/09/2021,Paracou,6,1,101046,435,TF,TF,Casearia,javitensis,Casearia javitensis,18,3,16,3,Inf,1.91676843946097,-2.1012025000000003,0.186941526,0.8092030379999999,3.229484287,4.225628851,1.11,51.18,0.481090398140247,4.14367694561567,0.0777698224112056,3.77853011800018,0.5222826716055099,291.6666667,0.821
94,688,13/09/2021,Paracou,16,16,158450,101,TF,Generalists,Protium,stevensonii,Protium stevensonii,32,4,30,4,Sup,2.27485119864124,-2.3289175,0.3676174915,1.7671876435,5.9731191804999995,8.107924315,1.19,48.27,0.5519036602617,2.16368247208703,0.0607524423847695,9.59783652599316,0.509922892175452,432.6923077,0.891
95,689,13/09/2021,Paracou,16,21,161595,122,TF,Generalists,Protium,stevensonii,Protium stevensonii,15,3,11,3,Inf,2.968198533377,-2.0033250000000002,0.3155651345,1.4210315075,3.328995697,5.065592339,1.26,48.66,0.573873726667844,3.1359910982411,0.0636946321321321,8.50714800094212,0.5175448245517545,455.1282051,0.895
96,690,13/09/2021,Paracou,16,6,153135,340,TF,TF,Casearia,javitensis,Casearia javitensis,12,2,8,3,Inf,1.9608437481689,-1.7176825000000002,0.21698309049999998,1.0633945005,2.0856382265,3.3660158175,1.4,50.71,0.441070388135244,5.53662341885228,0.149055465232616,3.24676423505871,0.535718043135192,282.0512821,0.928
98,691,13/09/2021,Paracou,16,10,155131,53,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,13,5,10,3,Mid,0.895022860575445,-2.139155,0.146660591,1.1308720205,6.1859799505,7.4635125615,1.89,51.1,0.530269583357819,8.8350200870558009,0.587843094405594,3.17821264030088,0.6232918422526977,230.7692308,0.932
