Date,Code,spName,idSample,Rec,FVFM,...7
2020-11-03T00:00:00Z,86,Chr.pri,P6-C4-450-Chr.pri-86,3192,0.734,NA
2020-11-03T00:00:00Z,87,Pro.ste,P6-C4-2050-Pro.ste-87,3193,0.822,NA
2020-11-03T00:00:00Z,88,Vir.mic,P6-C4-2930-Vir.mic-88,3194,0.815,NA
2020-11-03T00:00:00Z,89,Esc.cor,P6-C4-2895-Esc.cor-89,3195,0.814,NA
2020-11-03T00:00:00Z,90,Con.gui,P6-C4-2653-Con.gui-90,3196,0.831,NA
2020-11-03T00:00:00Z,91,Con.gui,P6-C4-439-Con.gui-91,3197,0.8,NA
2020-11-03T00:00:00Z,92,Chr.pri,P6-C4-454-Chr.pri-92,3198,0.797,NA
2020-11-03T00:00:00Z,93,Chr.pri,P6-C4-594-Chr.pri-93,3199,0.802,NA
2020-11-03T00:00:00Z,94,Lic.mem,P6-C4-431-Lic.mem-94,3200,0.817,NA
2020-11-03T00:00:00Z,95,Tac.mel,P6-C4-288-Tac.mel-95,3201,0.809,NA
2020-11-03T00:00:00Z,96,Iry.sag,P6-C4-658-Iry.sag-96,3202,0.682,NA
2020-11-03T00:00:00Z,97,Lae.pro,P6-C4-395-Lae.pro-97,3203,0.807,NA
2020-11-04T00:00:00Z,98,Iry.sag,P14-C4-807-Iry.sag-98,3204,0.824,NA
2020-11-04T00:00:00Z,99,Vou.ame,P14-C4-991-Vou.ame-99,3205,0.78,NA
2020-11-04T00:00:00Z,100,Esc.cor,P14-C4-897-Esc.cor-100,3206,0.824,NA
2020-11-04T00:00:00Z,101,Por.gui,P14-C4-898-Por.gui-101,3222,0.792,NA
2020-11-04T00:00:00Z,102,Hym.het,P14-C4-2539-Hym.het-102,3208,0.828,NA
2020-11-04T00:00:00Z,103,Esc.cor,P14-C4-907-Esc.cor-103,3209,0.812,NA
2020-11-04T00:00:00Z,104,0,0,3210,0.82,wrong species?
2020-11-04T00:00:00Z,105,Cas.jav,P14-C4-180-Cas.jav-105,3211,0.804,NA
2020-11-04T00:00:00Z,106,Dic.gui,P14-C4-13-Dic.gui-106,3212,0.806,NA
2020-11-05T00:00:00Z,107,Por.gui,P14-C2-487-Por.gui-107,3223,0.825,NA
2020-11-04T00:00:00Z,108,Vou.ame,P14-C4-624-Vou.ame-108,3213,0.831,NA
2020-11-04T00:00:00Z,109,Vou.ame,P14-C4-766-Vou.ame-109,3214,0.795,NA
2020-11-04T00:00:00Z,110,Pro.ste,P14-C4-2572-Pro.ste-110,3215,0.801,NA
2020-11-04T00:00:00Z,111,Esc.cor,P14-C4-511-Esc.cor-111,3216,0.784,NA
2020-11-04T00:00:00Z,112,Vou.ame,P14-C4-697-Vou.ame-112,3217,0.823,NA
2020-11-04T00:00:00Z,113,Gus.hex,P14-C4-703-Gus.hex-113,3218,0.788,NA
2020-11-04T00:00:00Z,114,Lic.mem,P14-C4-484-Lic.mem-114,3219,0.837,NA
2020-11-04T00:00:00Z,115,Tac.mel,P14-C4-3013-Tac.mel-115,3220,0.693,NA
2020-11-13T00:00:00Z,116,Iry.hos,P13-C2-282-Iry.hos-116,3301,0.739,NA
2020-11-05T00:00:00Z,117,Esc.cor,P14-C2-483-Esc.cor-117,3224,0.755,NA
2020-11-05T00:00:00Z,118,Esc.cor,P14-C2-114-Esc.cor-118,3225,0.837,NA
2020-11-05T00:00:00Z,119,Car.sur,P14-C2-310-Car.sur-119,3226,0.818,NA
2020-11-05T00:00:00Z,120,Iry.hos,P14-C2-461-Iry.hos-120,3227,0.816,NA
2020-11-05T00:00:00Z,121,Iry.sag,P14-C2-265-Iry.sag-121,3228,0.801,NA
2020-11-05T00:00:00Z,122,Esc.cor,P14-C2-953-Esc.cor-122,3229,0.792,NA
2020-11-05T00:00:00Z,123,Iry.hos,P14-C2-779-Iry.hos-123,3230,0.814,NA
2020-11-05T00:00:00Z,124,Esc.cor,P14-C2-785-Esc.cor-124,3231,0.813,NA
2020-11-05T00:00:00Z,125,Epe.fal,P14-C2-861-Epe.fal-125,3232,0.739,NA
2020-11-05T00:00:00Z,126,Vou.ame,P14-C2-745-Vou.ame-126,3233,0.831,NA
2020-11-05T00:00:00Z,127,Esc.cor,P14-C2-479-Esc.cor-127,3234,0.824,NA
2020-11-05T00:00:00Z,128,Pro.opa,P14-C2-320-Pro.opa-128,3235,0.778,NA
2020-11-05T00:00:00Z,129,Vir.mic,P14-C2-80-Vir.mic-129,3236,0.765,NA
2020-11-05T00:00:00Z,130,Cas.jav,P14-C2-440-Cas.jav-130,3237,0.801,NA
2020-11-05T00:00:00Z,131,Lae.pro,P14-C2-456-Lae.pro-131,3238,0.818,NA
2020-11-05T00:00:00Z,132,Epe.fal,P14-C2-802-Epe.fal-132,3240,0.785,NA
2020-11-05T00:00:00Z,133,Vir.sur,P14-C2-831-Vir.sur-133,3241,0.826,NA
2020-11-06T00:00:00Z,134,Boc.pro,P14-C1-763-Boc.pro-134,3243,0.829,NA
2020-11-05T00:00:00Z,135,Jac.cop,P14-C2-854-Jac.cop-135,3242,0.81,NA
2020-11-06T00:00:00Z,136,Sym.glo,P14-C1-576-Sym.glo-136,3244,0.782,NA
2020-11-06T00:00:00Z,137,Boc.pro,P14-C3-67-Boc.pro-137,3261,0.82,"mature (young 0,783 rec 3245)"
2020-11-06T00:00:00Z,138,Lae.pro,P14-C1-10-Lae.pro-138,3246,0.842,NA
2020-11-06T00:00:00Z,139,Sym.glo,P14-C1-14-Sym.glo-139,3248,0.798,young
2020-11-12T00:00:00Z,140,Por.gui,P11-C1-216-Por.gui-140,3281,0.831,NA
2020-11-06T00:00:00Z,141,Tac.mel,P14-C1-583-Tac.mel-141,3249,0.787,NA
2020-11-06T00:00:00Z,142,Chr.pri,P14-C1-367-Chr.pri-142,3250,0.822,NA
2020-11-06T00:00:00Z,143,Pro.opa,P14-C3-83-Pro.opa-143,3251,0.831,NA
2020-11-06T00:00:00Z,144,Car.sur,P14-C3-76-Car.sur-144,3252,0.83,NA
2020-11-06T00:00:00Z,145,Pro.ste,P14-C1-316-Pro.ste-145,3253,0.831,NA
2020-11-06T00:00:00Z,146,Lic.mem,P14-C1-887-Lic.mem-146,3254,0.797,NA
2020-11-06T00:00:00Z,147,Epe.fal,P14-C1-932-Epe.fal-147,3255,NA,NA
