Code RWC,idTree,idLeaf,NrRunLeaf,spName,statusLeaf,phenoLeaf,DenseSecVeins,idVapro,NrRunVapro,C_0,comment storag/disc/run/health/pheno,P_osmo,P_tlp
138,NA,1,1,Lae.pro,healthy,mature,ok,1,9,541,NA,-1.3525,-1.7456475
139,NA,1,1,Sym.glo,healthy,mature,no,1,6,537,NA,-1.3425,-1.7376575
140,NA,1,1,Por.gui,healthy,mature,ok,2,6,637,NA,-1.5925,-1.9374075000000002
141,NA,1,1,Tac.mel,healthy,mature,ok,2,5,597,NA,-1.4925,-1.8575075
142,NA,1,1,Chr.pri,healthy,mature,ok,1,4,317,NA,-0.7925,-1.2982075000000002
143,NA,1,1,Pro.opa,healthy,mature,ok,1,4,630,NA,-1.575,-1.9234250000000002
144,NA,1,1,Car.sur,healthy,mature,ok,2,5,550,NA,-1.375,-1.763625
145,NA,1,1,Pro.ste,healthy,mature,ok,1,8,714,NA,-1.7850000000000001,-2.091215
146,NA,1,1,Lic.mem,healthy,mature,ok,2,5,609,NA,-1.5225,-1.8814775000000001
147,NA,1,1,Epe.fal,healthy,mature,ok,1,6,438,NA,-1.095,-1.539905
148,NA,1,1,Lae.pro,healthy,mature,ok,2,4,499,NA,-1.2475,-1.6617525000000002
149,NA,1,1,Pte.off,healthy,mature,ok,2,5,476,NA,-1.19,-1.6158100000000002
150,NA,1,1,Boc.pro,herbivory,mature,ok,2,4,744,NA,-1.86,-2.1511400000000003
151,NA,1,1,Por.gui,healthy,mature,ok,2,4,697,NA,-1.7425,-2.0572575
152,NA,1,1,Cas.jav,healthy,mature,ok,2,7,729,NA,-1.8225,-2.1211775
153,NA,1,1,Dic.gui,healthy,mature,ok,2,6,516,NA,-1.29,-1.69571
154,NA,1,1,Iry.sag,healthy,mature,ok,2,4,477,NA,-1.1925000000000001,-1.6178075
155,NA,1,1,Boc.pro,healthy,mature,ok,1,4,390,NA,-0.975,-1.4440250000000001
156,NA,1,1,Por.gui,healthy,mature,ok,1,7,706,NA,-1.7650000000000001,-2.075235
157,NA,1,1,Pro.opa,healthy,mature,ok,1,7,809,NA,-2.0225,-2.2809775
158,NA,1,1,Iry.hos,healthy,mature,ok,1,5,500,NA,-1.25,-1.66375
159,NA,1,1,Esc.cor,healthy,mature,ok,1,8,511,NA,-1.2775,-1.6857225000000002
160,NA,1,1,Por.gui,healthy,mature,ok,1,10,677,pas bon !!,-1.6925000000000001,-2.0173075000000003
161,NA,1,1,Chr.pri,healthy,mature,ok,1,10,772,NA,-1.93,-2.20707
162,NA,1,1,Jac.cop,healthy,mature,ok,1,10,445,NA,-1.1125,-1.5538875
163,NA,1,1,Tac.mel,healthy,mature,ok,1,8,632,NA,-1.58,-1.9274200000000001
164,NA,1,1,Boc.pro,herbivory,mature,ok,1,6,606,"tachee, spots",-1.5150000000000001,-1.8754850000000003
165,NA,1,1,Lae.pro,healthy,mature,ok,1,9,696,avec fleurs,-1.74,-2.05526
166,NA,1,1,Por.gui,healthy,mature,ok,1,8,577,NA,-1.4425000000000001,-1.8175575000000002
167,NA,1,1,Esc.cor,healthy,mature,ok,1,10,484,NA,-1.21,-1.63179
168,NA,1,1,Jac.cop,healthy,mature,ok,1,9,428,NA,-1.07,-1.51993
169,NA,1,1,Tac.mel,healthy,mature,ok,1,10,551,NA,-1.3775,-1.7656225
170,NA,1,1,Iry.sag,healthy,mature,ok,1,6,465,NA,-1.1625,-1.5938375000000002
171,NA,1,1,Hym.het,healthy,mature,ok,2,4,368,NA,-0.92,-1.40008
172,NA,1,1,Con.gui,healthy,mature,ok,2,7,593,NA,-1.4825,-1.8495175000000001
173,NA,1,1,Hym.het,healthy,mature,ok,2,4,413,NA,-1.0325,-1.4899675000000001
174,NA,1,1,Jac.cop,healthy,mature,ok,2,NA,NA,fait deux fois sans succes,NA,NA
175,NA,1,1,Dic.gui,healthy,mature,ok,1,7,396,NA,-0.99,-1.45601
176,NA,1,1,Con.gui,healthy,mature,ok,2,4,624,NA,-1.56,-1.9114400000000002
177,NA,1,1,Jac.cop,healthy,mature,ok,2,7,581,NA,-1.4525000000000001,-1.8255475
178,NA,2,1,Pte.off,healthy,mature,ok,2,4,372,arbre de la vieille refait JYG,-0.93,-1.4080700000000002
179,NA,1,1,Hym.het,healthy,mature,ok,2,5,348,NA,-0.87,-1.36013
180,NA,NA,NA,Jac.cop,NA,NA,ok,NA,NA,NA,missing,NA,NA
181,NA,1,1,Hym.het,healthy,mature,ok,2,4,431,NA,-1.0775000000000001,-1.5259225
182,NA,1,1,Pte.off,healthy,mature,ok,2,10,476,NA,-1.19,-1.6158100000000002
183,NA,1,1,Con.gui,healthy,mature,ok,2,10,488,NA,-1.22,-1.63978
184,NA,1,1,Por.gui,healthy,mature,ok,2,4,601,NA,-1.5025,-1.8654975
185,NA,1,1,Hym.het,healthy,mature,ok,2,4,431,NA,-1.0775000000000001,-1.5259225
186,NA,1,2,Jac.cop,healthy,mature,ok,2,9,356,NA,-0.89,-1.3761100000000002
187,NA,1,1,Jac.cop,healthy,mature,ok,2,10,402,completement noire,-1.0050000000000001,-1.4679950000000002
188,NA,1,1,Jac.cop,healthy,mature,ok,2,4,430,completement noire,-1.075,-1.5239250000000002
189,NA,1,1,Vir.mic,healthy,mature,ok,2,7,686,NA,-1.715,-2.035285
190,NA,1,1,Vir.mic,healthy,mature,ok,2,9,681,NA,-1.7025000000000001,-2.0252975
191,NA,1,1,Por.gui,healthy,mature,ok,2,6,594,NA,-1.485,-1.8515150000000002
192,NA,1,1,Jac.cop,healthy,mature,ok,2,10,291,completement noire,-0.7275,-1.2462725000000001
193,NA,1,1,Vir.mic,healthy,mature,ok,2,6,530,NA,-1.325,-1.723675
194,NA,1,1,Tac.mel,healthy,mature,ok,2,10,788,NA,-1.97,-2.23903
195,NA,1,1,Con.gui,healthy,mature,ok,2,4,498,NA,-1.245,-1.659755
196,NA,1,1,Hym.het,healthy,mature,ok,2,5,399,NA,-0.9975,-1.4620025
197,938,1,1,Pro.opa,healthy,mature,ok,2,6,803,NA,-2.0075,-2.2689925
198,NA,1,1,Hym.het,healthy,mature,ok,1,NA,452,manque les 1ere valeurs /oubli ouverture logiciel/ 1pt herbi,-1.1300000000000001,-1.56787
199,NA,1,1,Boc.pro,healthy,mature,ok,1,5,502,manque la 1re valeur (voir cahier)/1 pt herbi,-1.2550000000000001,-1.6677450000000003
200,NA,1,1,Hym.het,healthy,mature,ok,1,5,399,NA,-0.9975,-1.4620025
201,NA,1,1,Epe.fal,healthy,mature,no,1,10,661,ok,-1.6525,-1.9853475000000003
202,NA,1,1,Epe.fal,healthy,mature,no,1,8,538,NA,-1.345,-1.7396550000000002
203,NA,1,1,Esc.cor,herbivory,mature,ok,1,5,536,NA,-1.34,-1.7356600000000002
